sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
13,256,json_config,json_config_template_18,True,369,2.629403,0.2534733,0.697518,13285,2.4075089e-05,6.856721e-08,0.0028480564,0,0.2907883,0.40579343,0.26774585
14,256,natural_language,natural_template_160,True,385,6.812352,0.65670776,3.7410207,878,0.00036717203,0.000112025155,0.30510265,1,0.2306781,0.021465234,0.0003546272
15,256,natural_language,natural_template_189,True,295,2.434113,0.23464742,2.7797403,338,0.49210063,0.5571745,1.0,1,0.73532313,0.49210063,0.5571745
16,256,chat,chat_template_106,True,275,2.1240034,0.204753,0.16519773,322,0.0005342723,2.5643088e-10,4.799629e-07,0,0.3761421,0.34713468,0.9709557
17,256,math,math_template_95,True,280,2.3901584,0.23041022,0.872851,29892,0.60612863,0.82197773,1.0,1,0.6604638,0.60612863,0.82197773
18,256,chat,chat_template_91,True,277,3.313761,0.3194451,2.0472755,4221,2.955718e-05,7.4695045e-08,0.002527137,0,0.6220347,0.51905453,0.62201345
19,256,code,code_template_89,True,360,5.9199677,0.5706823,0.0011175328,7411,0.004686659,3.910987e-09,8.344936e-07,0,0.0015787538,0.08307301,3.491076e-11
20,256,math,math_template_50,True,266,2.3837118,0.22978877,0.51613873,278,0.6832384,0.9250944,1.0,1,0.70708644,0.6832384,0.9250944
21,256,code,code_template_15,True,404,5.9014835,0.5689004,0.02049311,1246,0.0005670976,1.4964767e-09,2.6388343e-06,0,0.2140905,0.21283357,0.9984219
22,256,code,code_template_50,True,404,6.1068606,0.5886987,0.023023434,372,0.015462069,8.1361706e-10,5.2620194e-08,0,0.16884767,0.16753669,0.9982046
23,256,code,code_template_184,True,360,5.9199677,0.5706823,0.0011175328,29873,0.013351048,3.6296025e-12,2.7185898e-10,0,0.0015787538,0.08307301,3.491076e-11
24,256,natural_language,natural_template_1,True,292,2.875418,0.27718902,2.1570358,29892,0.16503525,0.15529393,0.9409743,1,0.5098815,0.27209714,0.20573102
