timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T07:39:25,gsm8k,math reasoning,305,4,128,128,29,99,105,116,0.9428571428571428,3.413793103448276,3.6206896551724137,4.0,1.0,1.0,20260707
2026-07-07T07:39:31,gsm8k,math reasoning,754,4,128,130,33,97,108,132,0.8981481481481481,2.9393939393939394,3.272727272727273,4.0,1.0,1.0,20260707
2026-07-07T07:39:36,gsm8k,math reasoning,1118,4,128,131,33,98,112,132,0.875,2.9696969696969697,3.393939393939394,4.0,1.0,1.0,20260707
2026-07-07T07:39:40,gsm8k,math reasoning,523,4,128,132,29,103,107,116,0.9626168224299065,3.5517241379310347,3.689655172413793,4.0,1.0,1.0,20260707
2026-07-07T07:39:45,gsm8k,math reasoning,446,4,128,129,32,97,107,128,0.9065420560747663,3.03125,3.34375,4.0,1.0,1.0,20260707
2026-07-07T07:39:50,gsm8k,math reasoning,364,4,128,131,32,99,111,128,0.8918918918918919,3.09375,3.46875,4.0,1.0,1.0,20260707
2026-07-07T07:39:55,gsm8k,math reasoning,416,4,128,129,29,100,106,116,0.9433962264150944,3.4482758620689653,3.6551724137931036,4.0,1.0,1.0,20260707
2026-07-07T07:40:01,gsm8k,math reasoning,385,4,128,131,35,96,111,140,0.8648648648648649,2.742857142857143,3.1714285714285713,4.0,1.0,1.0,20260707
2026-07-07T07:40:05,gsm8k,math reasoning,311,4,128,130,31,99,108,124,0.9166666666666666,3.193548387096774,3.4838709677419355,4.0,1.0,1.0,20260707
2026-07-07T07:40:11,gsm8k,math reasoning,991,4,128,131,35,96,114,140,0.8421052631578947,2.742857142857143,3.257142857142857,4.0,1.0,1.0,20260707
2026-07-07T07:40:16,gsm8k,math reasoning,25,4,128,129,33,96,108,132,0.8888888888888888,2.909090909090909,3.272727272727273,4.0,1.0,1.0,20260707
2026-07-07T07:40:22,gsm8k,math reasoning,1277,4,128,129,35,94,108,140,0.8703703703703703,2.6857142857142855,3.085714285714286,4.0,1.0,1.0,20260707
2026-07-07T07:40:28,gsm8k,math reasoning,951,4,128,128,38,90,113,152,0.7964601769911505,2.3684210526315788,2.973684210526316,4.0,1.0,1.0,20260707
2026-07-07T07:40:32,gsm8k,math reasoning,1072,4,128,128,31,97,106,124,0.9150943396226415,3.129032258064516,3.4193548387096775,4.0,1.0,1.0,20260707
2026-07-07T07:40:37,gsm8k,math reasoning,221,4,128,128,30,98,108,120,0.9074074074074074,3.2666666666666666,3.6,4.0,1.0,1.0,20260707
2026-07-07T07:40:42,gsm8k,math reasoning,437,4,128,131,28,103,107,112,0.9626168224299065,3.6785714285714284,3.8214285714285716,4.0,1.0,1.0,20260707
2026-07-07T07:40:46,gsm8k,math reasoning,441,4,128,129,29,100,107,116,0.9345794392523364,3.4482758620689653,3.689655172413793,4.0,1.0,1.0,20260707
2026-07-07T07:40:52,gsm8k,math reasoning,998,4,128,132,34,98,111,136,0.8828828828828829,2.8823529411764706,3.264705882352941,4.0,1.0,1.0,20260707
2026-07-07T07:40:57,gsm8k,math reasoning,684,4,128,129,34,95,110,136,0.8636363636363636,2.7941176470588234,3.235294117647059,4.0,1.0,1.0,20260707
2026-07-07T07:41:02,gsm8k,math reasoning,143,4,128,128,34,94,108,136,0.8703703703703703,2.764705882352941,3.176470588235294,4.0,1.0,1.0,20260707
2026-07-07T07:41:07,gsm8k,math reasoning,1076,4,128,131,30,101,106,120,0.9528301886792453,3.3666666666666667,3.533333333333333,4.0,1.0,1.0,20260707
2026-07-07T07:41:11,gsm8k,math reasoning,333,4,128,130,27,103,106,108,0.9716981132075472,3.814814814814815,3.925925925925926,4.0,1.0,1.0,20260707
2026-07-07T07:41:16,gsm8k,math reasoning,881,4,128,129,29,100,107,116,0.9345794392523364,3.4482758620689653,3.689655172413793,4.0,1.0,1.0,20260707
