context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
256,json_config,7,500,5.422918,4.922221,5.920869,0.092,0.09201714,0.108266905,0.036247596,0.031317513,1.1311374,0.012925633446759968
256,json_config,8,500,6.4003463,5.9229336,6.9870067,0.066,0.0651902,0.077014826,0.012524919,0.008780117,1.5479567,0.011103512957618413
256,json_config,9,500,7.236485,6.9880695,7.662986,0.16,0.15872483,0.15061252,0.00295206,0.002977541,3.3145137,0.016395121225535356
256,math,0,500,0.36269453,0.0019050855,0.7378844,0.82,0.8263114,0.83582586,0.8975203,0.81967145,0.09680457,0.017181385275931625
256,math,1,500,1.1482021,0.7396978,1.5317297,0.522,0.5238027,0.5647992,0.6176487,0.5004581,0.23229647,0.0223390241505756
256,math,2,500,1.8271329,1.5324304,2.1010616,0.378,0.3716858,0.3897618,0.4135668,0.3196769,0.3342059,0.02168483340955148
256,math,3,500,2.416483,2.1030812,2.7468455,0.34,0.34293324,0.32173473,0.28382704,0.2775536,0.38700473,0.021184900282984576
256,math,4,500,3.0268228,2.747091,3.3107986,0.242,0.23770064,0.25726727,0.19927397,0.17766975,0.49186456,0.019153902996517445
256,math,5,500,3.6238418,3.311645,3.9350939,0.178,0.18845738,0.20431565,0.13937016,0.13858359,0.5176841,0.017106489996489636
256,math,6,500,4.2704687,3.9361863,4.613802,0.15,0.15944389,0.15661775,0.10027931,0.11256368,0.6234636,0.015968719422671314
256,math,7,500,4.98652,4.6169186,5.3491154,0.132,0.13708396,0.10550474,0.05711078,0.07459343,0.6465796,0.01513776733867977
256,math,8,500,5.758465,5.349384,6.2058773,0.074,0.06926269,0.07255731,0.03005119,0.027337793,0.63913155,0.011706750189527408
256,math,9,500,6.7887187,6.2089105,8.534744,0.036,0.037802577,0.032524075,0.012588943,0.021129979,0.59382725,0.008331146379700696
256,natural_language,0,500,0.24341077,0.0013771194,0.64832705,0.934,0.9315484,0.93261325,0.9242093,0.92508686,0.07984089,0.01110351295761841
256,natural_language,1,500,1.2977413,0.6529236,1.9265782,0.642,0.6488172,0.62396437,0.5635182,0.57328886,0.43900043,0.021439962686534694
256,natural_language,2,500,2.3455527,1.9266716,2.7632408,0.466,0.45393482,0.44098052,0.2947854,0.30242813,0.88408005,0.022308921982023246
256,natural_language,3,500,3.0997763,2.768696,3.4056401,0.368,0.3733931,0.35948092,0.19448133,0.18054764,1.2928699,0.021567382780485908
256,natural_language,4,500,3.6794736,3.4057407,3.9415622,0.31,0.2909504,0.31045362,0.12485628,0.12684572,1.440166,0.02068332661831747
256,natural_language,5,500,4.1969085,3.9422388,4.4371514,0.268,0.2622991,0.29120788,0.08500006,0.07280681,1.6715845,0.0198078772209442
256,natural_language,6,500,4.670994,4.4390388,4.916608,0.278,0.27154258,0.25808176,0.06533815,0.081310935,1.9091173,0.020035768016225385
256,natural_language,7,500,5.153057,4.916948,5.4016123,0.21,0.22066066,0.21344283,0.042297363,0.04424562,2.0742962,0.01821537811850196
256,natural_language,8,500,5.658455,5.402025,5.943275,0.196,0.19333866,0.18150909,0.026162107,0.028825901,2.2420695,0.01775297158224504
256,natural_language,9,500,6.4088078,5.9451284,7.6818857,0.152,0.13216339,0.15200193,0.010297502,0.010061431,2.4960177,0.016055902341506688
