context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,chat,0,1,0.005980755668133497,0.005980755668133497,0.005980755668133497,0.0007286735926754773,1.0,1.0,1.0,1.0,0.9999518394470215,0.9995119571685791,1.0,1.0,0.0,0.0,0.9999645448251613,0.9996766504482366,1.0,1.0,0.0,0.0,0.9999645458902541,0.9997050471283728,1.0,1.0,0.0,0.0,0.9999645792841924,0.9997332228249434,1.0,1.0,0.0,0.0,0.9999645831953882,0.9997577022968471,0.0,0.0,0.0,0.0,0.0
64,chat,1,1,3.5755176544189453,3.5755176544189453,3.5755176544189453,0.9527332782745361,0.0,0.014744758605957031,0.0,0.014744758605957031,0.002930054906755686,0.19871856272220612,0.0,0.014837443828582764,0.0,9.268522262573242e-05,0.002936514646080468,0.2673938646912575,0.0,0.020350873470306396,0.0,0.005513429641723633,0.003314895583116595,0.33500445634126663,0.0,0.023946404457092285,0.0,0.0035955309867858887,0.0035238573750575597,0.3919382803142071,0.0,0.025295555591583252,0.0,0.0013491511344909668,0.003573103908365738,0.4275665543973446,0.014744758605957031,0.014837443828582764,0.020350873470306396,0.023946404457092285,0.025295555591583252
64,chat,2,1,4.422033309936523,4.422033309936523,4.422033309936523,0.022221218794584274,1.0,1.0,1.0,1.0,0.9970818758010864,0.13197730481624603,1.0,1.0,0.0,0.0,0.9971084871722269,0.213923878967762,1.0,1.0,0.0,0.0,0.9971084921409172,0.28680866956710815,1.0,1.0,0.0,0.0,0.9971084967004438,0.3324188105762005,1.0,1.0,0.0,0.0,0.9971084990110994,0.372985303401947,0.0,0.0,0.0,0.0,0.0
64,chat,3,1,5.356749534606934,5.356749534606934,5.356749534606934,1.1948071718215942,0.0,0.00035190582275390625,0.0,0.00035190582275390625,2.2524462110595778e-05,0.06400580704212189,0.0,0.0019285082817077637,0.0,0.0015766024589538574,7.87102799222339e-05,0.09963040426373482,0.0,0.002397477626800537,0.0,0.00046896934509277344,9.493404104432557e-05,0.13415895029902458,0.0,0.004125475883483887,0.0,0.0017279982566833496,0.00015200465895759407,0.16710631921887398,1.0,1.0,1.0,0.9958745241165161,0.35196380108573067,0.1950683854520321,0.00035190582275390625,0.0019285082817077637,0.002397477626800537,0.004125475883483887,0.0
64,chat,4,1,6.054466724395752,6.054466724395752,6.054466724395752,0.8815327882766724,0.0,8.344650268554688e-07,0.0,8.344650268554688e-07,4.002704656613787e-08,0.04837312176823616,0.0,0.0006633996963500977,0.0,0.0006625652313232422,2.6820136739047484e-05,0.08879037573933601,0.0,0.0006642341613769531,0.0,8.344650268554688e-07,2.6846631783428165e-05,0.1202673651278019,0.0,0.0006894469261169434,0.0,2.5212764739990234e-05,2.745945158721952e-05,0.14459089748561382,0.0,0.0007080435752868652,0.0,1.8596649169921875e-05,2.7845952217830927e-05,0.1653959173709154,8.344650268554688e-07,0.0006633996963500977,0.0006642341613769531,0.0006894469261169434,0.0007080435752868652
64,code,0,1,1.5116311311721802,1.5116311311721802,1.5116311311721802,0.06050568073987961,0.0,3.981590270996094e-05,0.0,3.981590270996094e-05,2.1255113097140566e-05,0.5337119102478027,1.0,1.0,1.0,0.99996018409729,0.9911480308546743,0.7614722400903702,1.0,1.0,0.0,0.0,0.9915522311384848,0.840801440179348,1.0,1.0,0.0,0.0,0.9930078123034036,0.8822796754539013,1.0,1.0,0.0,0.0,0.9932728931926249,0.9161332249641418,3.981590270996094e-05,0.0,0.0,0.0,0.0
64,code,1,1,2.1549081802368164,2.1549081802368164,2.1549081802368164,0.12580600380897522,0.0,0.02921384572982788,0.0,0.02921384572982788,0.021901797503232956,0.7497065663337708,0.0,0.08137655258178711,0.0,0.05216270685195923,0.022342369571560994,0.757905931212008,0.0,0.08296942710876465,0.0,0.001592874526977539,0.022355778047312924,0.7656386685557663,0.0,0.0834231972694397,0.0,0.00045377016067504883,0.022359386889320376,0.772931335028261,0.0,0.0834730863571167,0.0,4.988908767700195e-05,0.02235977627864827,0.7800829485058784,0.02921384572982788,0.08137655258178711,0.08296942710876465,0.0834231972694397,0.0834730863571167
64,code,2,1,3.034533739089966,3.034533739089966,3.034533739089966,0.052174925804138184,0.0,9.608268737792969e-05,0.0,9.608268737792969e-05,5.9815371059812605e-05,0.6223517060279846,0.0,0.00012248754501342773,0.0,2.6404857635498047e-05,6.020448088861485e-05,0.6371028115972877,0.0,0.009047746658325195,0.0,0.008925259113311768,0.0001693656220425055,0.6493319068104029,0.0,0.009067416191101074,0.0,1.9669532775878906e-05,0.0001695612787528944,0.6591967204585671,0.0,0.00914829969406128,0.0,8.088350296020508e-05,0.0001702741710545297,0.6679364601150155,9.608268737792969e-05,0.00012248754501342773,0.009047746658325195,0.009067416191101074,0.00914829969406128
64,code,3,1,6.153961658477783,6.153961658477783,6.153961658477783,0.007496765349060297,0.0,1.1920928955078125e-07,0.0,1.1920928955078125e-07,8.240691684591184e-09,0.05537872016429901,0.0,1.1920928955078125e-07,0.0,0.0,8.270998445164546e-09,0.10659566149115562,0.0,1.1920928955078125e-07,0.0,0.0,8.278067186156396e-09,0.14742936566472054,0.0,0.0006305575370788574,0.0,0.0006304383277893066,2.35402347526603e-05,0.1847543939948082,0.0,0.0006305575370788574,0.0,0.0,2.354064503255369e-05,0.21428092196583748,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.0006305575370788574,0.0006305575370788574
64,code,4,1,6.17740535736084,6.17740535736084,6.17740535736084,0.6381378769874573,0.0,0.04761195182800293,0.0,0.04761195182800293,0.006832146551460028,0.14349639415740967,0.0,0.04761230945587158,0.0,3.5762786865234375e-07,0.006832159304161145,0.1804935559630394,0.0,0.047636568546295166,0.0,2.4259090423583984e-05,0.006832651111431609,0.1998379696160555,0.0,0.04772239923477173,0.0,8.58306884765625e-05,0.006834301926510911,0.21815289184451103,0.0,0.04859268665313721,0.0,0.0008702874183654785,0.006849964423900623,0.23529109172523022,0.04761195182800293,0.04761230945587158,0.047636568546295166,0.04772239923477173,0.04859268665313721
