context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,0,3,0.5160655725436906,0.005980755668133497,1.5116311311721802,0.02489048314358418,0.6666666666666666,0.6666799386342367,0.6666666666666666,0.6666799386342367,0.6663057327593075,0.8433630665143331,1.0,1.0,0.3333333333333333,0.33332006136576336,0.9967286250572821,0.9195777731753575,1.0,1.0,0.0,0.0,0.9968662440327177,0.9462485538145605,1.0,1.0,0.0,0.0,0.9973539950588339,0.9602988888903686,1.0,1.0,0.0,0.0,0.9974588305887394,0.9716712294981941,1.3271967570060994e-05,0.0,0.0,0.0,0.0
64,1,2,2.2079923152923584,2.1549081802368164,2.2610764503479004,0.6551762372255325,0.5,0.5146069228649139,0.5,0.5146069228649139,0.381806468591094,0.7151676118373871,0.5,0.5406882762908936,0.0,0.026081353425979614,0.3820798455089971,0.7410228592343628,0.5,0.5414847135543823,0.0,0.0007964372634887695,0.3829915571618585,0.7522049511317164,0.5,0.5417115986347198,0.0,0.00022688508033752441,0.38386369871057013,0.7620358525309712,0.5,0.5417365431785583,0.0,2.4944543838500977e-05,0.3839435922586034,0.7712869378738105,0.01460692286491394,0.040688276290893555,0.041484713554382324,0.04171159863471985,0.04173654317855835
64,2,3,3.163823127746582,3.034533739089966,3.331738233566284,0.9083358744780222,0.0,0.13926337162653604,0.0,0.13926337162653604,0.015379137415228191,0.3048705831170082,0.0,0.2551022966702779,0.0,0.11583892504374187,0.030808907307317668,0.3869300754740834,0.0,0.337716539700826,0.0,0.0826142430305481,0.05500879443060095,0.45277797244489193,0.0,0.33917144934336346,0.0,0.0014549096425374348,0.06477256485852934,0.5080706554775437,0.6666666666666666,0.6697160998980204,0.6666666666666666,0.330544650554657,0.47774666835595764,0.5619742525741458,0.13926337162653604,0.2551022966702779,0.337716539700826,0.33917144934336346,0.0030494332313537598
64,3,2,3.4256207942962646,3.3922922611236572,3.458949327468872,2.1747692823410034,0.0,0.33102020621299744,0.0,0.33102020621299744,0.06776239164173603,0.2305893674492836,0.0,0.618360161781311,0.0,0.2873399555683136,0.10551179479807615,0.3297034502029419,0.0,0.6638216376304626,0.0,0.04546147584915161,0.13164495969447446,0.4001811258494854,0.0,0.9226819574832916,0.0,0.258860319852829,0.17264044204983067,0.4565530139952898,0.0,0.9267768561840057,0.0,0.004094898700714111,0.19552792297525004,0.5036718212068081,0.33102020621299744,0.618360161781311,0.6638216376304626,0.9226819574832916,0.9267768561840057
64,4,3,3.5744048754374185,3.4778995513916016,3.669797420501709,1.1879654162524578,0.0,0.19667228062947592,0.0,0.19667228062947592,0.01975821942521468,0.1293650766213735,0.0,0.2988577087720235,0.0,0.10218542814254761,0.04006805188812942,0.20451091974973679,0.0,0.32560274998346966,0.0,0.026745041211446125,0.05576463530486434,0.2754277288913727,0.0,0.34131582578023273,0.0,0.015713075796763103,0.07884591353677006,0.3400259402891,0.0,0.3417656620343526,0.0,0.00044983625411987305,0.08973225474241205,0.3943530296285947,0.19667228062947592,0.2988577087720235,0.32560274998346966,0.34131582578023273,0.3417656620343526
64,5,2,4.0273154973983765,3.9844186305999756,4.070212364196777,1.4578856229782104,0.0,0.11450639367103577,0.0,0.11450639367103577,0.0345596862102866,0.2692156732082367,0.0,0.14351752400398254,0.0,0.029011130332946777,0.037229497004318546,0.370350394397974,0.5,0.5860632359981537,0.5,0.44254571199417114,0.3626340213418189,0.44154138676822186,1.0,1.0,0.5,0.4139367640018463,0.6885467306897226,0.49238496646285057,1.0,1.0,0.0,0.0,0.6974908314342132,0.5288922544568777,0.11450639367103577,0.14351752400398254,0.08606323599815369,0.0,0.0
64,6,2,4.429827690124512,4.422033309936523,4.4376220703125,0.8948876317590475,0.5,0.5000084042549133,0.5,0.5000084042549133,0.4985425176091667,0.1599375382065773,0.5,0.5000095367431641,0.0,1.1324882507324219e-06,0.49855590685286444,0.2375582978129387,0.5,0.509050726890564,0.0,0.009041190147399902,0.4991784465571065,0.3084278106689453,0.5,0.5110549628734589,0.0,0.0020042359828948975,0.49930394063933403,0.3619728349149227,0.5,0.5190738141536713,0.0,0.008018851280212402,0.4998002717089747,0.41251945681869984,8.404254913330078e-06,9.5367431640625e-06,0.009050726890563965,0.011054962873458862,0.019073814153671265
64,7,3,5.1439315478007,4.8935160636901855,5.356749534606934,2.09280788898468,0.3333333333333333,0.36499764521916706,0.3333333333333333,0.36499764521916706,0.11915728246700989,0.1525194545586904,0.3333333333333333,0.3705449104309082,0.0,0.00554726521174113,0.12014713270885598,0.20155967896183333,0.3333333333333333,0.378143310546875,0.0,0.007598400115966797,0.1309063331264042,0.23917223451038203,0.3333333333333333,0.3814199169476827,0.0,0.0032766064008076987,0.13179272027931196,0.2712558787316084,0.6666666666666666,0.8577474157015482,0.3333333333333333,0.47632749875386554,0.251535140660053,0.2959113319714864,0.03166431188583374,0.03721157709757489,0.044809977213541685,0.048086583614349365,0.1910807490348816
64,8,2,6.104214191436768,6.054466724395752,6.153961658477783,0.44451477681286633,0.0,4.76837158203125e-07,0.0,4.76837158203125e-07,2.4133869125364527e-08,0.051875920966267586,0.0,0.0003317594528198242,0.0,0.0003312826156616211,1.3414203868746324e-05,0.09769301861524582,0.0,0.00033217668533325195,0.0,4.172325134277344e-07,1.3427454925307161e-05,0.13384836539626122,0.0,0.0006600022315979004,0.0,0.00032782554626464844,2.549984316993991e-05,0.164672645740211,0.0,0.0006693005561828613,0.0,9.298324584960938e-06,2.569329862519231e-05,0.18983841966837645,4.76837158203125e-07,0.0003317594528198242,0.00033217668533325195,0.0006600022315979004,0.0006693005561828613
64,9,3,6.3097028732299805,6.17740535736084,6.539572715759277,0.7709213693936666,0.0,0.01599949598312378,0.0,0.01599949598312378,0.002281155172817406,0.083779310186704,0.0,0.19179068009058634,0.0,0.17579118410746256,0.00727177526778446,0.1241408431281646,0.0,0.2546195983886719,0.0,0.06282891829808553,0.0105416626794132,0.15211082994937897,0.0,0.29645951588948566,0.0,0.041839917500813804,0.012356466889801096,0.1736899937192599,0.0,0.2967841823895772,0.0,0.00032466650009155273,0.012364840867572521,0.1919042288015286,0.01599949598312378,0.19179068009058634,0.2546195983886719,0.29645951588948566,0.2967841823895772
