timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T09:12:14,gsm8k,math reasoning,305,4,128,130,35,95,109,140,0.8715596330275229,2.7142857142857144,3.1142857142857143,4.0,1.0,1.0,20260707
2026-07-07T09:12:18,gsm8k,math reasoning,754,4,128,129,31,98,106,124,0.9245283018867925,3.161290322580645,3.4193548387096775,4.0,1.0,1.0,20260707
2026-07-07T09:12:23,gsm8k,math reasoning,1118,4,128,131,32,99,109,128,0.908256880733945,3.09375,3.40625,4.0,1.0,1.0,20260707
2026-07-07T09:12:28,gsm8k,math reasoning,523,4,128,128,33,95,108,132,0.8796296296296297,2.878787878787879,3.272727272727273,4.0,1.0,1.0,20260707
2026-07-07T09:12:32,gsm8k,math reasoning,446,4,128,131,32,99,111,128,0.8918918918918919,3.09375,3.46875,4.0,1.0,1.0,20260707
2026-07-07T09:12:37,gsm8k,math reasoning,364,4,128,132,31,101,109,124,0.926605504587156,3.2580645161290325,3.5161290322580645,4.0,1.0,1.0,20260707
2026-07-07T09:12:42,gsm8k,math reasoning,416,4,128,130,35,95,112,140,0.8482142857142857,2.7142857142857144,3.2,4.0,1.0,1.0,20260707
2026-07-07T09:12:47,gsm8k,math reasoning,385,4,128,132,33,99,112,132,0.8839285714285714,3.0,3.393939393939394,4.0,1.0,1.0,20260707
2026-07-07T09:12:51,gsm8k,math reasoning,311,4,128,132,33,99,113,132,0.8761061946902655,3.0,3.4242424242424243,4.0,1.0,1.0,20260707
2026-07-07T09:12:58,gsm8k,math reasoning,991,4,128,128,43,85,112,172,0.7589285714285714,1.9767441860465116,2.604651162790698,4.0,1.0,1.0,20260707
2026-07-07T09:13:03,gsm8k,math reasoning,25,4,128,132,38,94,112,152,0.8392857142857143,2.473684210526316,2.9473684210526314,4.0,1.0,1.0,20260707
2026-07-07T09:13:09,gsm8k,math reasoning,1277,4,128,131,41,90,115,164,0.782608695652174,2.1951219512195124,2.8048780487804876,4.0,1.0,1.0,20260707
2026-07-07T09:13:15,gsm8k,math reasoning,951,4,128,132,40,92,118,160,0.7796610169491526,2.3,2.95,4.0,1.0,1.0,20260707
2026-07-07T09:13:20,gsm8k,math reasoning,1072,4,128,128,39,89,112,156,0.7946428571428571,2.282051282051282,2.871794871794872,4.0,1.0,1.0,20260707
2026-07-07T09:13:25,gsm8k,math reasoning,221,4,128,128,33,95,109,132,0.8715596330275229,2.878787878787879,3.303030303030303,4.0,1.0,1.0,20260707
2026-07-07T09:13:29,gsm8k,math reasoning,437,4,128,128,31,97,107,124,0.9065420560747663,3.129032258064516,3.4516129032258065,4.0,1.0,1.0,20260707
2026-07-07T09:13:33,gsm8k,math reasoning,441,4,128,129,29,100,105,116,0.9523809523809523,3.4482758620689653,3.6206896551724137,4.0,1.0,1.0,20260707
2026-07-07T09:13:38,gsm8k,math reasoning,998,4,128,129,34,95,109,136,0.8715596330275229,2.7941176470588234,3.2058823529411766,4.0,1.0,1.0,20260707
2026-07-07T09:13:43,gsm8k,math reasoning,684,4,128,128,35,93,114,140,0.8157894736842105,2.657142857142857,3.257142857142857,4.0,1.0,1.0,20260707
2026-07-07T09:13:49,gsm8k,math reasoning,143,4,128,131,43,88,115,172,0.7652173913043478,2.046511627906977,2.6744186046511627,4.0,1.0,1.0,20260707
2026-07-07T09:13:54,gsm8k,math reasoning,1076,4,128,129,30,99,107,120,0.9252336448598131,3.3,3.566666666666667,4.0,1.0,1.0,20260707
2026-07-07T09:13:58,gsm8k,math reasoning,333,4,128,131,33,98,109,132,0.8990825688073395,2.9696969696969697,3.303030303030303,4.0,1.0,1.0,20260707
2026-07-07T09:14:04,gsm8k,math reasoning,881,4,128,129,36,93,114,144,0.8157894736842105,2.5833333333333335,3.1666666666666665,4.0,1.0,1.0,20260707
2026-07-07T09:14:09,gsm8k,math reasoning,493,4,128,130,40,90,113,160,0.7964601769911505,2.25,2.825,4.0,1.0,1.0,20260707
2026-07-07T09:14:14,gsm8k,math reasoning,1293,4,128,131,32,99,110,128,0.9,3.09375,3.4375,4.0,1.0,1.0,20260707
2026-07-07T09:14:19,gsm8k,math reasoning,500,4,128,128,33,95,109,132,0.8715596330275229,2.878787878787879,3.303030303030303,4.0,1.0,1.0,20260707
2026-07-07T09:14:23,gsm8k,math reasoning,200,4,128,130,31,99,108,124,0.9166666666666666,3.193548387096774,3.4838709677419355,4.0,1.0,1.0,20260707
2026-07-07T09:14:28,gsm8k,math reasoning,758,4,128,128,36,92,110,144,0.8363636363636363,2.5555555555555554,3.0555555555555554,4.0,1.0,1.0,20260707
2026-07-07T09:14:33,gsm8k,math reasoning,230,4,128,131,33,98,111,132,0.8828828828828829,2.9696969696969697,3.3636363636363638,4.0,1.0,1.0,20260707
2026-07-07T09:14:39,gsm8k,math reasoning,530,4,128,128,41,87,113,164,0.7699115044247787,2.1219512195121952,2.7560975609756095,4.0,1.0,1.0,20260707
