sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
1112,64,1.6132891,0.15552036,0.5311762,29900,0.6867477,0.9035238,1.0,1,0.78252745,0.6867477,0.9035238
1113,64,1.8137621,0.17484586,2.2274406,29946,0.28593796,0.08681677,0.303621,0,0.6065697,0.29966038,0.20503378
1114,64,4.9891887,0.4809556,6.1596093,236,0.03896619,0.007968474,0.20449713,0,0.4299072,0.08712831,0.06594191
1115,64,7.1200686,0.6863715,1.7073684,1022,0.011765809,5.2545175e-07,4.4659213e-05,0,0.0388823,0.0126228705,2.6480933e-05
1116,64,2.6112154,0.25172,0.0036940414,1431,3.193977e-06,5.0482993e-11,1.5805685e-05,0,0.4855315,0.48513135,0.9995999
1117,64,2.484637,0.23951791,2.3069038,29955,0.1665471,0.10072791,0.6048013,0,0.78509873,0.18725394,0.10891283
1118,64,2.4633117,0.23746216,2.3041515,29955,0.0993932,0.10386821,1.0,1,0.9006658,0.17857723,0.14647765
1119,64,2.9073658,0.2802688,0.002346792,29900,0.1245553,1.1452104e-06,9.194393e-06,0,0.00658749,0.13895148,1.2771931e-08
1120,64,4.4308653,0.42713347,4.6912227,672,4.9403898e-06,8.328204e-06,1.0,1,0.2702027,0.37667707,0.01950521
1121,64,2.956507,0.285006,2.3118963,29953,0.03405841,0.107425,1.0,1,0.64130896,0.21191856,0.11435331
1122,64,4.731415,0.4561063,4.5098615,30533,0.0024462922,5.166175e-05,0.02111839,0,0.29164988,0.1299604,0.16489711
1123,64,1.9129632,0.18440881,1.5167773,491,0.47062162,0.41341585,0.87844634,1,0.5425084,0.47062162,0.41341585
1124,64,5.2058954,0.501846,0.15270008,29892,0.08451163,0.0011894499,0.014074394,0,0.06445753,0.08451163,0.00013768882
1125,64,1.5375963,0.14822361,0.0010601983,376,0.81535083,0.99992,1.0,1,0.8154283,0.81535083,0.99992
1126,64,3.5871055,0.3457954,0.00018310742,29871,0.33745024,4.565928e-06,1.3530671e-05,0,5.5674496e-05,0.33745024,4.565928e-06
1127,64,1.0462692,0.10085989,0.23022777,29889,0.8560802,0.060972583,0.07122298,0,0.07633145,0.8560802,0.060972583
1128,64,3.1663704,0.30523673,2.3683705,29947,0.09302532,0.0965565,1.0,1,0.68674815,0.116679884,0.093585774
1129,64,6.139246,0.5918206,4.853571,336,0.00012443658,2.3257042e-05,0.18689875,1,0.14050584,0.18652044,0.0076578236
1130,64,2.4948862,0.24050593,1.604487,29953,0.07454259,0.022991532,0.30843484,0,0.28654522,0.14594729,0.03293385
1131,64,3.8764236,0.37368554,1.2182393,596,0.0004930057,4.2856783e-07,0.0008692959,0,0.38166645,0.31969735,0.60966355
1132,64,0.15314183,0.014762805,0.0014574884,1115,0.979147,0.9998661,1.0,1,0.97927797,0.979147,0.9998661
1133,64,2.981161,0.28738263,0.7080682,376,0.610453,1.7740665e-07,2.9061474e-07,0,0.0002009359,0.610453,1.7740665e-07
1134,64,5.049736,0.48679233,1.1501137,278,0.1344045,0.041487966,0.3086799,0,0.11879644,0.16467582,0.0010467769
1135,64,1.4941965,0.14403988,0.0011045415,376,0.82107556,0.99991536,1.0,1,0.8211577,0.82107556,0.99991536
1136,64,3.121849,0.30094486,2.3003902,29929,0.07521248,0.096588515,1.0,1,0.68800676,0.11029181,0.006078968
1137,64,2.8733742,0.27699202,2.3129573,29946,0.07932398,0.081084214,1.0,1,0.7761946,0.13921791,0.10575375
1138,64,3.4810336,0.3355701,2.0488558,29906,0.056255635,0.053862024,0.95745116,1,0.55800086,0.09720102,0.0394063
1139,64,5.8343678,0.5624305,0.005197727,7297,0.00032186887,1.8103413e-11,5.6244684e-08,0,0.10549004,0.1049515,0.99945456
1140,64,3.293016,0.31744528,0.00016800816,29900,0.035914913,4.6714216e-10,1.3006914e-08,0,3.1952335e-05,0.50754744,4.936952e-06
1141,64,4.1403794,0.39913076,1.6385221,3743,0.00014230725,1.0269209e-06,0.0072162235,0,0.2921474,0.23199542,0.03743911
1142,64,3.440164,0.33163032,2.0591784,6369,0.001482043,6.671683e-05,0.0450168,0,0.4427031,0.32003212,0.11600572
1143,64,1.7955585,0.17309104,1.6290137,29941,0.29278296,0.09427196,0.3219858,0,0.5139988,0.29278296,0.09427196
1144,64,1.9320524,0.186249,1.6741066,29941,0.24151474,0.06866067,0.28429183,0,0.55478305,0.24151474,0.06866067
1145,64,1.477285,0.14240962,2.2831469,29953,0.033240728,0.08981262,1.0,1,0.5344788,0.6174826,0.15518229
1146,64,3.7849164,0.3648643,0.05511142,235,0.095507905,0.00017149054,0.0017955638,0,0.23208004,0.22555949,0.9931039
1147,64,3.5565605,0.34285086,1.8260407,182,0.005858116,0.002287558,0.3904938,0,0.37511447,0.108820856,0.101937495
1148,64,2.5176296,0.24269839,2.3287697,29906,0.21207981,0.10612938,0.5004219,0,0.7905777,0.21207981,0.10612938
1149,64,2.6911561,0.25942627,2.3090203,29946,0.06054791,0.08915085,1.0,1,0.69015986,0.196984,0.00056872546
1150,64,4.384173,0.42263234,0.0021983446,29871,0.2355719,3.913058e-05,0.00016610886,0,0.00014263974,0.2355719,3.913058e-05
1151,64,1.7245532,0.16624618,0.15210576,29896,0.24475498,0.014121836,0.057697847,0,0.41951618,0.39418492,0.9746684
1152,64,2.6209533,0.25265875,2.3296132,29906,0.06270941,0.095192485,1.0,1,0.71163726,0.18431321,0.09226373
1153,64,2.0388188,0.19654123,0.015470283,11003,4.5152765e-07,3.74874e-09,0.008302349,0,0.74780345,0.74656695,0.99854565
1154,64,4.514455,0.43519145,0.30992755,29901,0.18332002,1.889866e-05,0.000103091086,0,0.2195989,0.19362451,0.92353684
1155,64,2.286759,0.22044255,2.2775357,29900,0.26363078,0.15411599,0.58459026,0,0.79213303,0.26363078,0.15411599
1156,64,2.1213074,0.2044931,0.00022468479,376,0.73599845,0.9999846,1.0,1,0.73601377,0.73599845,0.9999846
1157,64,2.8476725,0.27451438,2.350197,29896,0.062324576,0.104858674,1.0,1,0.73293185,0.19347887,0.10818725
1158,64,2.3511517,0.22664998,0.025336172,1115,0.6708507,0.99660563,1.0,1,0.67423576,0.6708507,0.99660563
1159,64,2.4770038,0.23878208,1.8285255,29900,0.13533601,0.06729672,0.49725658,0,0.25252587,0.15699252,0.014783128
1160,64,2.5726318,0.24800058,1.0540391,29896,0.11274787,0.012530377,0.111136265,0,0.24804038,0.27905366,0.057939883
1161,64,3.0746822,0.296398,2.1105258,29936,0.0045137927,2.3276628e-07,5.1567782e-05,0,0.4858558,0.21162038,0.06006707
1162,64,0.40813485,0.03934402,0.04064916,29871,0.95635974,0.9942819,1.0,1,0.95729697,0.95635974,0.9942819
1163,64,1.7339315,0.16715024,2.2918904,29955,0.04978101,0.101205766,1.0,1,0.5545473,0.5106879,0.112903185
1164,64,2.7885022,0.2688104,2.1672761,29947,0.13994792,0.0702436,0.5019267,0,0.65586656,0.14666416,0.074773915
1165,64,1.6862575,0.16255449,0.0016167231,376,0.79765165,0.99986625,1.0,1,0.7977816,0.79765165,0.99986625
1166,64,3.0666246,0.29562128,0.00010686651,29871,0.5003445,3.5559706e-06,7.107044e-06,0,2.6160966e-05,0.5003445,3.5559706e-06
1167,64,4.361199,0.42041767,0.8699268,376,0.34460884,0.30620113,0.88854694,1,0.3135728,0.34460884,0.30620113
1168,64,2.4166102,0.23296016,0.0005887179,539,0.03086432,3.6478057e-05,0.0011818843,0,0.564499,0.5644494,0.9999503
1169,64,2.8562074,0.27533713,2.313615,29901,0.00108602,2.8336622e-08,2.6092173e-05,0,0.6793684,0.21021791,0.0866813
1170,64,1.4068724,0.13562188,1.7474136,29896,0.5170193,0.2852285,0.55167866,1,0.65643364,0.5170193,0.2852285
1171,64,0.359214,0.03462807,0.6403526,29889,0.9539091,0.88074887,0.9233048,1,0.91013795,0.9539091,0.88074887
1172,64,1.7305245,0.16682181,0.000120735676,376,0.79104257,0.9999926,1.0,1,0.79104996,0.79104257,0.9999926
