prompt_id,method,budget,round,selected_nodes,accepted_tokens,raw_draft_time_s,draft_time_scale,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
0,chain,4,1,4,1,0.036454614251852036,0.1,0.003645461425185204,1.6e-06,0.030439067631959915,0.03408612905714512,29.337446863605663,13,4.0,4.0
0,chain,4,2,4,2,0.007770530879497528,0.1,0.0007770530879497528,1.6e-06,0.029284536838531494,0.030063189926481246,66.52653976144741,14,4.0,4.0
0,chain,4,3,4,1,0.007149681448936462,0.1,0.0007149681448936463,1.6e-06,0.029197387397289276,0.029913955542182923,33.42921328441028,16,4.0,4.0
0,chain,4,4,4,2,0.0070654600858688354,0.1,0.0007065460085868835,1.6e-06,0.0302860327064991,0.030994178715085984,64.52824636474487,17,4.0,4.0
0,chain,4,5,4,2,0.007119376212358475,0.1,0.0007119376212358475,1.6e-06,0.03015631064772606,0.030869848268961907,64.78813833402934,19,4.0,4.0
0,chain,4,6,4,4,0.007185552269220352,0.1,0.0007185552269220353,1.6e-06,0.030187763273715973,0.03090791850063801,129.4166735918315,21,4.0,4.0
0,chain,4,7,4,3,0.007389385253190994,0.1,0.0007389385253190995,1.6e-06,0.030340522527694702,0.031081061053013802,96.52180132727813,25,4.0,4.0
0,chain,4,8,4,1,0.007217127829790115,0.1,0.0007217127829790116,1.6e-06,0.030242539942264557,0.03096585272524357,32.29363676411189,28,4.0,4.0
0,chain,4,9,4,3,0.006985504180192947,0.1,0.0006985504180192948,1.6e-06,0.03030174970626831,0.031001900124287607,96.76826220241031,29,4.0,4.0
0,chain,4,10,4,5,0.029235519468784332,0.1,0.0029235519468784332,1.6e-06,0.03044881299138069,0.03337396493825912,149.81738038167944,32,4.0,4.0
0,chain,4,11,4,4,0.00727945938706398,0.1,0.000727945938706398,1.6e-06,0.030428826808929443,0.031158372747635842,128.3764088836604,37,4.0,4.0
0,chain,4,12,4,2,0.007269255816936493,0.1,0.0007269255816936493,1.6e-06,0.030324049293994904,0.031052574875688552,64.40689727040397,41,4.0,4.0
0,chain,4,13,4,5,0.007021427154541016,0.1,0.0007021427154541016,1.6e-06,0.03033655881881714,0.03104030153427124,161.08090942607492,43,4.0,4.0
0,chain,4,14,4,1,0.007464393973350525,0.1,0.0007464393973350526,1.6e-06,0.030314378440380096,0.03106241783771515,32.19324410689715,48,4.0,4.0
0,chain,4,15,4,2,0.007061455398797989,0.1,0.0007061455398797989,1.6e-06,0.03049713745713234,0.03120488299701214,64.09253321640396,49,4.0,4.0
0,chain,4,16,4,2,0.00726800411939621,0.1,0.000726800411939621,1.6e-06,0.03051554039120674,0.031243940803146363,64.01241164170283,51,4.0,4.0
0,chain,4,17,4,5,0.0072744786739349365,0.1,0.0007274478673934937,1.6e-06,0.03142652288079262,0.03215557074818611,155.49405231073527,53,4.0,4.0
0,chain,4,18,4,2,0.007596023380756378,0.1,0.0007596023380756379,1.6e-06,0.0313156358897686,0.03207683822784424,62.350284831498875,58,4.0,4.0
0,chain,4,19,4,1,0.007227446883916855,0.1,0.0007227446883916856,1.6e-06,0.03079216554760933,0.031516510236001015,31.729401272914707,60,4.0,4.0
0,bfs,4,1,4,1,0.025965016335248947,0.1,0.002596501633524895,1.6e-06,0.02937934175133705,0.03197744338486195,31.27204348279443,13,4.0,16.0
0,bfs,4,2,4,2,0.007145822048187256,0.1,0.0007145822048187256,1.6e-06,0.029132328927516937,0.029848511132335664,67.00501713914126,14,4.0,16.0
0,bfs,4,3,4,2,0.007176514714956284,0.1,0.0007176514714956284,1.6e-06,0.02919718623161316,0.029916437703108787,66.85287933837687,16,4.0,16.0
0,bfs,4,4,4,1,0.007186669856309891,0.1,0.0007186669856309891,1.6e-06,0.03017621859908104,0.03089648558471203,32.36614071390736,18,4.0,16.0
0,bfs,4,5,4,2,0.007313154637813568,0.1,0.0007313154637813568,1.6e-06,0.03016819804906845,0.03090111351284981,64.72258674977286,19,4.0,16.0
0,bfs,4,6,4,2,0.007212385535240173,0.1,0.0007212385535240173,1.6e-06,0.030066654086112976,0.030789492639636994,64.95722496658782,21,4.0,16.0
0,bfs,4,7,4,2,0.007243465632200241,0.1,0.0007243465632200242,1.6e-06,0.030285459011793137,0.03101140557501316,64.49240087367924,23,4.0,16.0
0,bfs,4,8,4,2,0.007266480475664139,0.1,0.0007266480475664139,1.6e-06,0.030179079622030258,0.03090732766959667,64.70957377422786,25,4.0,16.0
0,bfs,4,9,4,2,0.007210753858089447,0.1,0.0007210753858089447,1.6e-06,0.030283689498901367,0.031006364884710313,64.50288537326183,27,4.0,16.0
0,bfs,4,10,4,2,0.0072074271738529205,0.1,0.0007207427173852921,1.6e-06,0.030182935297489166,0.030905278014874457,64.71386534809415,29,4.0,16.0
0,bfs,4,11,4,1,0.0072092339396476746,0.1,0.0007209233939647675,1.6e-06,0.030385904014110565,0.03110842740807533,32.14563008544795,31,4.0,16.0
0,bfs,4,12,4,2,0.008205655962228775,0.1,0.0008205655962228776,1.6e-06,0.030309949070215225,0.0311321146664381,64.24234336243451,32,4.0,16.0
0,bfs,4,13,4,2,0.007130786776542664,0.1,0.0007130786776542664,1.6e-06,0.030281316488981247,0.030995995166635513,64.52446482998634,34,4.0,16.0
0,bfs,4,14,4,2,0.007212653756141663,0.1,0.0007212653756141663,1.6e-06,0.030194584280252457,0.030917449655866625,64.68838866922833,36,4.0,16.0
0,bfs,4,15,4,2,0.007098447531461716,0.1,0.0007098447531461716,1.6e-06,0.03023919090628624,0.030950635659432412,64.61902824895574,38,4.0,16.0
0,bfs,4,16,4,2,0.007150024175643921,0.1,0.0007150024175643921,1.6e-06,0.030312921851873398,0.03102952426943779,64.45474260686231,40,4.0,16.0
0,bfs,4,17,4,1,0.0071600452065467834,0.1,0.0007160045206546783,1.6e-06,0.030255921185016632,0.03097352570567131,32.285636756454174,42,4.0,16.0
0,bfs,4,18,4,2,0.00718337669968605,0.1,0.0007183376699686051,1.6e-06,0.030255381017923355,0.03097531868789196,64.56753585498335,43,4.0,16.0
0,bfs,4,19,4,2,0.007182415574789047,0.1,0.0007182415574789047,1.6e-06,0.03036477416753769,0.031084615725016595,64.34050907022858,45,4.0,16.0
0,bfs,4,20,4,2,0.007255952805280685,0.1,0.0007255952805280685,1.6e-06,0.030462436378002167,0.031189631658530236,64.1238736608487,47,4.0,16.0
