prompt_id,method,budget,round,generated_tokens,decode_time_s,total_round_time_s,round_tps,input_len
0,ad,0,1,1,0.4666651003062725,0.4666651003062725,2.142864335352482,13
0,ad,0,2,1,0.03398020938038826,0.03398020938038826,29.42889458995364,14
0,ad,0,3,1,0.014586575329303741,0.014586575329303741,68.55618796216321,15
0,ad,0,4,1,0.014469973742961884,0.014469973742961884,69.10862574898552,16
0,ad,0,5,1,0.021554291248321533,0.021554291248321533,46.394473772264334,17
0,ad,0,6,1,0.014365959912538528,0.014365959912538528,69.60899279185692,18
0,ad,0,7,1,0.01440742239356041,0.01440742239356041,69.40866816308262,19
0,ad,0,8,1,0.0207618847489357,0.0207618847489357,48.16518404241996,20
0,ad,0,9,1,0.014688670635223389,0.014688670635223389,68.07968024022561,21
0,ad,0,10,1,0.01440088078379631,0.01440088078379631,69.44019709719335,22
0,ad,0,11,1,0.014347869902849197,0.014347869902849197,69.69675685457813,23
0,ad,0,12,1,0.014509502798318863,0.014509502798318863,68.92034922904902,24
0,ad,0,13,1,0.01436278223991394,0.01436278223991394,69.62439333105087,25
0,ad,0,14,1,0.014394968748092651,0.014394968748092651,69.46871629245469,26
0,ad,0,15,1,0.014594126492738724,0.014594126492738724,68.52071622769255,27
0,ad,0,16,1,0.014348305761814117,0.014348305761814117,69.69463967385971,28
0,ad,0,17,1,0.014357849955558777,0.014357849955558777,69.64831106992037,29
0,ad,0,18,1,0.014378748834133148,0.014378748834133148,69.54708031523154,30
0,ad,0,19,1,0.01439446210861206,0.01439446210861206,69.47116137126862,31
0,ad,0,20,1,0.014361150562763214,0.014361150562763214,69.63230387632612,32
0,ad,0,21,1,0.01441521942615509,0.01441521942615509,69.37112578290636,33
0,ad,0,22,1,0.014414668083190918,0.014414668083190918,69.37377914140872,34
0,ad,0,23,1,0.014357410371303558,0.014357410371303558,69.65044350886006,35
0,ad,0,24,1,0.014437776058912277,0.014437776058912277,69.26274489364387,36
0,ad,0,25,1,0.014399860054254532,0.014399860054254532,69.44511934368026,37
0,ad,0,26,1,0.01441137120127678,0.01441137120127678,69.38964974487679,38
0,ad,0,27,1,0.014494277536869049,0.014494277536869049,68.99274540978693,39
0,ad,0,28,1,0.01444290205836296,0.01444290205836296,69.23816252156637,40
0,ad,0,29,1,0.01442531868815422,0.01442531868815422,69.32255859422916,41
0,ad,0,30,1,0.014430124312639236,0.014430124312639236,69.2994722938116,42
0,ad,0,31,1,0.014423202723264694,0.014423202723264694,69.33272860312746,43
0,ad,0,32,1,0.014438446611166,0.014438446611166,69.25952818405327,44
0,ad,0,33,1,0.014512807130813599,0.014512807130813599,68.90465717530275,45
0,ad,0,34,1,0.014430958777666092,0.014430958777666092,69.29546507662668,46
0,ad,0,35,1,0.014449197798967361,0.014449197798967361,69.20799437540171,47
0,ad,0,36,1,0.01443444937467575,0.01443444937467575,69.27870776660392,48
0,ad,0,37,1,0.014458321034908295,0.014458321034908295,69.16432396165443,49
0,ad,0,38,1,0.014465101063251495,0.014465101063251495,69.13190551709964,50
0,ad,0,39,1,0.01444338634610176,0.01444338634610176,69.23584096120906,51
0,ad,0,40,1,0.01467163860797882,0.01467163860797882,68.15871265096278,52
0,ad,0,41,1,0.014406818896532059,0.014406818896532059,69.4115756699569,53
0,ad,0,42,1,0.014424949884414673,0.014424949884414673,69.32433096911085,54
0,ad,0,43,1,0.014411106705665588,0.014411106705665588,69.39092329438235,55
0,ad,0,44,1,0.014379747211933136,0.014379747211933136,69.54225170037363,56
0,ad,0,45,1,0.014420799911022186,0.014420799911022186,69.34428091160702,57
0,ad,0,46,1,0.014522869139909744,0.014522869139909744,68.85691734644486,58
0,ad,0,47,1,0.01444285362958908,0.01444285362958908,69.23839468616504,59
0,ad,0,48,1,0.014441639184951782,0.014441639184951782,69.24421716905945,60
1,ad,0,1,1,0.015048924833536148,0.015048924833536148,66.4499298827997,8
1,ad,0,2,1,0.014327727258205414,0.014327727258205414,69.79474008533386,9
1,ad,0,3,1,0.014350615441799164,0.014350615441799164,69.68342257205856,10
1,ad,0,4,1,0.014352221041917801,0.014352221041917801,69.67562700430483,11
1,ad,0,5,1,0.014341656118631363,0.014341656118631363,69.72695424630157,12
1,ad,0,6,1,0.014362026005983353,0.014362026005983353,69.62805941051707,13
1,ad,0,7,1,0.014341864734888077,0.014341864734888077,69.72594000049352,14
1,ad,0,8,1,0.014331486076116562,0.014331486076116562,69.77643453643661,15
1,ad,0,9,1,0.014322381466627121,0.014322381466627121,69.82079079028308,16
1,ad,0,10,1,0.014332778751850128,0.014332778751850128,69.77014138803449,17
1,ad,0,11,1,0.014318935573101044,0.014318935573101044,69.83759336682527,18
1,ad,0,12,1,0.014303963631391525,0.014303963631391525,69.91069229268709,19
1,ad,0,13,1,0.01430971547961235,0.01430971547961235,69.88259140614933,20
1,ad,0,14,1,0.014305468648672104,0.014305468648672104,69.90333728722857,21
1,ad,0,15,1,0.014310184866189957,0.014310184866189957,69.88029919604016,22
1,ad,0,16,1,0.01433638483285904,0.01433638483285904,69.75259186039683,23
1,ad,0,17,1,0.014349915087223053,0.014349915087223053,69.68682350534498,24
1,ad,0,18,1,0.014344003051519394,0.014344003051519394,69.71554568193393,25
1,ad,0,19,1,0.014297068119049072,0.014297068119049072,69.94441039751527,26
1,ad,0,20,1,0.014310993254184723,0.014310993254184723,69.87635185332694,27
1,ad,0,21,1,0.01433144137263298,0.01433144137263298,69.7766521872377,28
1,ad,0,22,1,0.014330051839351654,0.014330051839351654,69.78341817675125,29
1,ad,0,23,1,0.014347013086080551,0.014347013086080551,69.70091920876537,30
1,ad,0,24,1,0.014347866177558899,0.014347866177558899,69.69677495069423,31
1,ad,0,25,1,0.014339163899421692,0.014339163899421692,69.73907314361131,32
1,ad,0,26,1,0.014341823756694794,0.014341823756694794,69.72613922501996,33
1,ad,0,27,1,0.014363866299390793,0.014363866299390793,69.61913868847502,34
1,ad,0,28,1,0.01430046558380127,0.01430046558380127,69.92779319945649,35
1,ad,0,29,1,0.014330249279737473,0.014330249279737473,69.78245670952626,36
1,ad,0,30,1,0.014349006116390228,0.014349006116390228,69.69123797764256,37
1,ad,0,31,1,0.01433376595377922,0.01433376595377922,69.76533614575598,38
1,ad,0,32,1,0.014320727437734604,0.014320727437734604,69.82885501786981,39
1,ad,0,33,1,0.014341820031404495,0.014341820031404495,69.726157336397,40
1,ad,0,34,1,0.014344476163387299,0.014344476163387299,69.71324631236031,41
1,ad,0,35,1,0.014357630163431168,0.014357630163431168,69.64937727306811,42
