model_key,model_label,backend,tensor_parallel_size,dataset,dataset_purpose,batches,prompts,prompt_tokens,output_tokens,wall_s,ms_per_output_token,output_tokens_per_s,total_tokens_per_s,mean_batch_ms_per_output_token,std_batch_ms_per_output_token,mean_batch_output_tokens_per_s,std_batch_output_tokens_per_s
qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,transformers,1,gsm8k,math reasoning,192,192,19518,24576,263.85590859875083,10.736324405873651,93.14174592683861,167.11393818758225,10.736324405873651,0.10219519735034985,93.15016268593351,0.884300016049898
qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,transformers,1,mbpp,code generation,192,192,11262,24576,262.1152192130685,10.665495573448425,93.7602939416602,136.7261317660001,10.665495573448425,0.10911705414064833,93.7700760787927,0.9562138071015012
qwen2.5-1.5b,Qwen2.5-1.5B-Instruct,transformers,1,wikitext,text continuation,192,192,37206,24576,264.02554029226303,10.74322673715263,93.08190401881424,234.00008927776616,10.74322673715263,0.10147806116597981,93.09016027745955,0.8741304890084508
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,gsm8k,math reasoning,192,192,19518,24576,621.7218611650169,25.297927293498407,39.528930113456404,70.9223895028787,25.297927293498407,0.024966720408244304,39.528968580718114,0.03897757966273312
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,mbpp,code generation,192,192,11262,24576,621.4094835333526,25.285216615126654,39.54880099392777,57.67211629314712,25.285216615126654,0.011203558054966081,39.54880875600609,0.01751817200236346
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,wikitext,text continuation,192,192,37206,24576,622.7688000909984,25.340527347452735,39.46247788329951,99.20535516707399,25.340527347452735,0.0854627889825624,39.4629230995588,0.1320143040930147
qwen2.5-3b,Qwen2.5-3B-Instruct,transformers,1,gsm8k,math reasoning,192,192,19518,24576,331.157566267997,13.474835867024618,74.21240673121537,133.15111744816937,13.474835867024618,0.15559024959908574,74.22209388647268,0.8393294025704033
qwen2.5-3b,Qwen2.5-3B-Instruct,transformers,1,mbpp,code generation,192,192,11262,24576,332.7551919147372,13.539843421009815,73.85609780747517,107.70079887794168,13.539843421009815,0.28451528044345037,73.88705579278019,1.4744258147941873
qwen2.5-3b,Qwen2.5-3B-Instruct,transformers,1,wikitext,text continuation,192,192,37206,24576,331.54081743583083,13.490430396965772,74.12661943127604,186.34809577242416,13.490430396965772,0.11564735374450215,74.13203856373559,0.6321891451122588
