model_key,model_label,backend,tensor_parallel_size,dataset,dataset_purpose,batches,prompts,prompt_tokens,output_tokens,wall_s,ms_per_output_token,output_tokens_per_s,total_tokens_per_s,mean_batch_ms_per_output_token,std_batch_ms_per_output_token,mean_batch_output_tokens_per_s,std_batch_output_tokens_per_s
qwen2.5-0.5b,Qwen2.5-0.5B-Instruct,transformers,1,gsm8k,math reasoning,192,192,19736,24576,255.10140574350953,10.3801027727665,96.33815983244648,173.70347243226595,10.3801027727665,0.10654876993889462,96.34816603544799,0.9749628874059112
qwen2.5-0.5b,Qwen2.5-0.5B-Instruct,transformers,1,mbpp,code generation,192,192,11172,24576,256.69599298760295,10.4449866938315,95.73971028518116,139.26201022439193,10.4449866938315,0.17525997608271532,95.7663106027497,1.5853898830089457
qwen2.5-0.5b,Qwen2.5-0.5B-Instruct,transformers,1,wikitext,text continuation,192,192,37400,24576,262.5875708684325,10.684715611508485,93.59163466390271,236.0203104626479,10.684715611508485,0.13526476156510633,93.60664569526496,1.1859668230288123
