context_len,draft_len,classic_spec_sampling,target_only
512,10,17.687843227386473,16.822315406799316
512,20,18.23666706085205,17.834012603759767
512,30,18.740388870239258,18.02455186843872
512,40,19.196969318389893,18.00811195373535
512,50,19.23743028640747,18.5858304977417
512,60,19.474416065216065,19.609460735321044
512,70,20.390303897857667,20.206667137145995
512,80,20.516479969024658,20.19700155258179
512,90,21.12904300689697,20.41712169647217
512,100,21.091300773620606,22.538668727874757
512,110,22.719351863861085,20.982148742675783
512,120,21.364720249176024,22.16319990158081
512,130,22.674699115753175,21.63491201400757
512,140,22.10110216140747,21.66592493057251
512,150,22.21427526473999,21.750507068634032
512,160,22.386651229858398,22.447969722747803
512,170,22.30698890686035,22.716899108886718
512,180,22.64229612350464,22.040473651885986
512,190,23.08866729736328,22.54100170135498
512,200,23.877860736846923,23.60177116394043
512,210,24.17050380706787,23.642703914642333
512,220,25.41896963119507,23.767066955566406
512,230,24.55186243057251,24.955334663391113
512,240,23.926332569122316,23.335166263580323
512,250,24.87448787689209,23.745043182373045
512,260,27.536187171936035,27.193723106384276
512,270,27.578728008270264,27.20292463302612
512,280,28.130281734466553,27.164734172821046
512,290,28.425606536865235,27.888406372070314
512,300,28.45766897201538,27.896294498443602
512,310,28.507054615020753,27.907929515838624
512,320,28.67676649093628,27.64626874923706
512,330,30.634556579589844,30.02624168395996
512,340,30.46072664260864,29.955844783782958
512,350,30.935108947753907,30.38612480163574
512,360,30.96476984024048,30.610043144226076
512,370,31.595859146118165,30.944992065429688
512,380,31.87135992050171,31.269419288635255
512,390,33.663763236999515,33.73669929504395
512,400,33.62039031982422,33.006347465515134
512,410,35.52764492034912,33.13724975585937
512,420,36.15305461883545,33.28671360015869
512,430,34.263905715942386,34.249979209899905
512,440,34.00460662841797,33.469971084594725
512,450,34.80065765380859,35.416734313964845
512,460,35.26465606689453,34.045735931396486
512,470,35.393822288513185,34.447211265563965
512,480,34.761963272094725,34.20809764862061
512,490,35.40352611541748,35.2183744430542
512,500,35.72685279846191,35.15545120239258
512,510,35.67873630523682,35.13402099609375
512,520,45.112093162536624,44.558091163635254
512,530,44.7121919631958,44.14396343231201
512,540,44.99014453887939,44.342681312561034
512,550,46.07717781066894,44.64516143798828
512,560,46.185795593261716,45.61076965332031
512,570,46.43967781066895,45.28239498138428
512,580,46.249427223205565,45.652351760864256
512,590,46.53822250366211,46.091075325012206
512,600,47.793707084655765,47.15216274261475
512,610,47.37971820831299,46.708286094665525
512,620,48.33277931213379,47.40453109741211
512,630,48.5245777130127,47.876400566101076
512,640,50.04772815704346,50.26313304901123
512,650,54.84124965667725,54.15717391967773
512,660,55.574857521057126,57.87388935089111
512,670,56.1659553527832,55.48401737213135
512,680,57.253384017944335,56.618143463134764
512,690,58.28819236755371,56.95284805297852
512,700,58.13444786071777,57.35519218444824
512,710,58.99399662017822,58.314096450805664
512,720,59.711754989624026,60.488987350463866
512,730,60.412074661254884,59.55526885986328
512,740,60.9884672164917,60.286060905456544
512,750,61.57504119873047,60.74346656799317
512,760,62.03618392944336,62.090937805175784
512,770,66.21737976074219,65.47587661743164
512,780,66.52337875366212,65.96486549377441
512,790,67.39431037902833,66.62207794189453
512,800,67.52897682189942,67.20815811157226
512,810,69.53229446411133,68.13950424194336
512,820,70.28823051452636,69.2555648803711
512,830,70.74917411804199,69.92736511230468
512,840,70.64705314636231,71.01290931701661
512,850,72.98199577331543,71.48942756652832
512,860,72.63877639770507,71.75617561340331
512,870,73.45643730163575,72.40069770812988
512,880,72.77937736511231,72.32563209533691
512,890,74.296342086792,73.50235481262207
512,900,78.81582069396973,77.96722412109375
512,910,80.4148723602295,78.40482635498047
512,920,79.31576004028321,78.35846557617188
512,930,80.56240005493164,79.73638916015625
512,940,82.40872154235839,80.47023735046386
512,950,82.57345085144043,82.74690895080566
512,960,81.65615158081054,80.77038764953613
512,970,83.39748497009278,82.53072776794434
512,980,85.03136711120605,83.22088623046875
512,990,85.03763694763184,85.28382759094238
512,1000,85.13144454956054,85.66012992858887
