entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
0,32,1.0481321,0.14575982,1.8273427,0.59375,0.5203101,0.59556395,0.63463295,0.40782997,0.5926707,0.08682074519880027
1,32,2.360791,1.9090192,2.6513367,0.46875,0.47772208,0.46278152,0.26001963,0.21992907,1.3171294,0.08821554523934542
2,32,3.0162132,2.6708622,3.5405836,0.375,0.37551248,0.36534858,0.10292602,0.1019284,1.1104864,0.0855816496101822
3,32,5.515547,3.6988125,7.277007,0.15625,0.16804545,0.10480256,0.040066604,0.014892997,1.3454425,0.06418623720763665
