t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,uses_subset,contained_waste,no_delay_ok
144,best_all,24,Accurate,{'Accurate': 24},8.338510857237784,150.39076764618594,0.055445629992761446,1,0,0,0,1
144,primary_only,24,Balanced,{'Balanced': 10},6.656896689130538,91.34914810904434,0.07287311186727366,1,0,0,0,1
144,random_residual,24,Balanced,"{'Balanced': 10, 'Subset': 11, 'Diverse': 3}",8.859541021408694,91.34914810904434,0.09698548048672524,3,1,1,0,1
145,proposed,16,Balanced,"{'Balanced': 10, 'Diverse': 6}",8.448796480551884,90.49462788267066,0.09336240921953991,2,1,0,0,1
145,best_all,16,Balanced,{'Balanced': 16},7.892766027136462,107.47140461227306,0.07344061479061678,1,0,0,0,1
145,primary_only,16,Balanced,{'Balanced': 10},6.572201306410239,90.49462788267066,0.07262531997956077,1,0,0,0,1
145,random_residual,16,Balanced,"{'Balanced': 10, 'Fast': 6}",7.348219534197829,90.49462788267066,0.08120061606004993,2,0,0,0,1
146,proposed,8,Fast,{'Fast': 8},5.610285845872248,76.16633968441755,0.07365833607230604,1,0,0,0,1
146,best_all,8,Fast,{'Fast': 8},5.42726416881024,76.16633968441755,0.07125541533566138,1,0,0,0,1
146,primary_only,8,Fast,{'Fast': 8},5.004221591902006,76.16633968441755,0.06570122199171127,1,0,0,0,1
146,random_residual,8,Fast,{'Fast': 8},4.8163976882184585,76.16633968441755,0.0632352520572,1,0,0,0,1
147,proposed,12,Fast,"{'Fast': 10, 'Diverse': 2}",6.869152306240285,84.28843561803053,0.08149578593876373,2,1,0,0,1
147,best_all,12,Balanced,{'Balanced': 12},6.748500007824345,102.0723674046062,0.06611485732542935,1,0,0,0,1
147,primary_only,12,Fast,{'Fast': 10},5.70115262840913,84.28843561803053,0.06763861004901092,1,0,0,0,1
147,random_residual,12,Balanced,"{'Balanced': 8, 'Diverse': 4}",7.429430285736791,88.78157826973747,0.08368211548531598,2,1,0,0,1
148,proposed,6,Fast,{'Fast': 6},4.677562934228762,75.24704996413466,0.06216274174812501,1,0,0,0,1
148,best_all,6,Fast,{'Fast': 6},4.786378170054448,75.24704996413466,0.0636088480855502,1,0,0,0,1
148,primary_only,6,Fast,{'Fast': 6},4.865884474146219,75.24704996413466,0.06466545168834482,1,0,0,0,1
148,random_residual,6,Fast,{'Fast': 6},4.906588316103752,75.24704996413466,0.06520638773802297,1,0,0,0,1
149,proposed,40,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 6, 'Fast': 10}",10.869374679776929,94.43671148416381,0.11509692056144527,4,1,0,0,1
149,best_all,40,Balanced,{'Balanced': 40},7.996455395190059,191.1468459366552,0.04183409543592485,1,0,0,0,1
149,primary_only,40,Balanced,{'Balanced': 10},5.9635001479197856,94.43671148416381,0.06314811320934033,1,0,0,0,1
149,random_residual,40,Balanced,"{'Balanced': 8, 'Accurate': 5, 'Fast': 8, 'Subset': 8, 'Diverse': 6}",10.02558084664706,87.98936918733105,0.11394081966086615,5,1,1,1,1
150,proposed,24,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 6, 'Fast': 2}",11.032838216292657,90.14971294627128,0.12238350911741855,4,1,0,0,1
150,best_all,24,Balanced,{'Balanced': 24},7.4724426836024875,129.2793110710511,0.057800761944776145,1,0,0,0,1
150,primary_only,24,Balanced,{'Balanced': 10},5.96642709482249,90.14971294627128,0.06618353957908271,1,0,0,0,1
150,random_residual,24,Balanced,"{'Balanced': 10, 'Diverse': 6, 'Accurate': 6, 'Subset': 2}",9.801334183803396,90.14971294627128,0.10872285516477391,4,1,1,1,1
151,proposed,8,Fast,{'Fast': 8},5.318351975514788,80.6086069713951,0.06597747033889403,1,0,0,0,1
151,best_all,8,Balanced,{'Balanced': 8},6.0620909641207446,89.09851277982604,0.06803807128746309,1,0,0,0,1
151,primary_only,8,Fast,{'Fast': 8},5.013211706094225,80.6086069713951,0.06219201515135004,1,0,0,0,1
151,random_residual,8,Balanced,{'Balanced': 8},6.224667650912506,89.09851277982604,0.06986275591708771,1,0,0,0,1
152,proposed,16,Balanced,"{'Balanced': 10, 'Diverse': 6}",8.325188775959795,89.60676889378253,0.09290803450159274,2,1,0,0,1
152,best_all,16,Balanced,{'Balanced': 16},7.785590573178347,106.05083023005206,0.07341376353480081,1,0,0,0,1
152,primary_only,16,Balanced,{'Balanced': 12},7.1582338608476075,95.08812267253904,0.07527999985338725,1,0,0,0,1
152,random_residual,16,Balanced,"{'Balanced': 10, 'Diverse': 6}",8.284025556699788,89.60676889378253,0.09244865827624531,2,1,0,0,1
153,proposed,6,Diverse,{'Diverse': 6},5.074060428046608,76.33167309251311,0.06647385315263436,1,1,0,0,1
153,best_all,6,Balanced,{'Balanced': 6},5.027962415584777,79.16910630433473,0.06350914706876616,1,0,0,0,1
