dataset,strategy,n,tpot_wall_ms_mean,tpot_wall_ms_std,tpot_cuda_ms_mean,speedup_vs_target_wall_mean,latency_reduction_wall_mean,acceptance_rate_mean,mean_uploaded_g,mean_generated_g,rounds_mean
gsm8k,adaptive_entropy,3,30.483989674528992,2.439606098160125,30.48189827247902,0.4467191446337419,-1.2481004999406757,0.5737373737373737,1.2303030303030302,2.2303030303030305,10.333333333333334
gsm8k,fixed_g2,3,25.866672962757885,2.7422483593750706,25.86449140660903,0.528418387465708,-0.9075467273348622,0.6153846153846154,2.0,2.0,8.333333333333334
gsm8k,fixed_g4,3,26.74586238787958,5.380058991022866,26.743591237951208,0.5221290276677647,-0.9723373517967336,0.6405228758169935,4.0,4.0,7.333333333333333
gsm8k,fixed_g8,3,36.38241665938987,7.991865072404086,36.380214558187916,0.3869072099653101,-1.6829612350696785,0.6226851851851852,8.0,8.0,6.666666666666667
gsm8k,target_only,3,13.559837980816761,0.004953205362347563,13.557279904683432,,,0.0,0.0,0.0,16
mbpp,adaptive_entropy,3,29.200302783911134,3.1581468186987545,29.198226517322016,0.4638382348442895,-1.1718313071207278,0.6441077441077441,1.0673400673400673,2.0673400673400675,10
mbpp,fixed_g2,3,24.11446154669479,5.01757245717413,24.112586559553293,0.5757020118355958,-0.7935920744451407,0.6391941391941391,2.0,2.0,8.666666666666666
mbpp,fixed_g4,3,26.903559764226276,4.238677538297627,26.90163406671262,0.5090135652585768,-1.001061174589929,0.6194444444444445,4.0,4.0,7.333333333333333
mbpp,fixed_g8,3,34.5491855209615,11.187113709944708,34.547168236598026,0.4242970513693293,-1.5697231584629323,0.6392156862745099,8.0,8.0,6.666666666666667
mbpp,target_only,3,13.444812269881368,0.004719291424301787,13.443087259928385,,,0.0,0.0,0.0,16
wikitext,adaptive_entropy,3,28.417254610936723,3.4459840136255386,28.41517650379854,0.4944679355193536,-1.0446596968839488,0.7188552188552189,1.7354497354497354,2.6507936507936507,9
wikitext,fixed_g2,3,20.6499667046896,1.381602400190516,20.64799336618328,0.6757322031959259,-0.4864657459892341,0.797924297924298,2.0,2.0,7.333333333333333
wikitext,fixed_g4,3,21.624383893704007,1.7152868562363977,21.622574106852213,0.6460372555513357,-0.5564677334720283,0.7318121693121693,4.0,4.0,6
wikitext,fixed_g8,3,25.037530002494652,2.7540301399356824,25.03571143056832,0.5594688312509047,-0.8011214141799026,0.7593215776012923,8.0,8.0,5.333333333333333
wikitext,target_only,3,13.902180595323443,0.199427876821004,13.900317827860514,,,0.0,0.0,0.0,16
