context_len,draft_len,classic_spec_sampling,target_only
512,1,16.09105772972107,15.624527978897095
512,2,17.582470512390138,16.87146701812744
512,3,17.20147352218628,16.760339164733885
512,4,16.714555168151854,16.782916641235353
512,5,16.770846462249757,16.323433589935302
512,6,17.26279525756836,16.327932929992677
512,7,17.574775981903077,16.392187309265136
512,8,17.92523374557495,16.415083408355713
512,9,17.2758526802063,17.092765045166015
512,10,17.008974456787108,17.104312038421632
512,11,17.116393566131592,17.488552188873292
512,12,19.041264057159424,16.60538558959961
512,13,17.23448963165283,17.556543827056885
512,14,18.743582344055177,16.97977771759033
512,15,17.490291118621826,17.671097660064696
512,16,17.155027008056642,16.698273372650146
512,17,18.150479984283447,18.609971237182616
512,18,18.090629005432127,18.43624324798584
512,19,18.65837287902832,19.12361612319946
512,20,18.154313373565675,17.71228971481323
