context_len,draft_len,classic_spec_sampling,target_only
512,100,20.932137298583985,20.49783363342285
512,200,23.957763290405275,23.464064025878905
512,300,29.0953950881958,28.596748924255373
512,400,34.7667293548584,34.18225631713867
512,500,37.228268432617185,36.690403366088866
512,600,49.462588500976565,48.826633834838866
512,700,59.41180152893067,58.91627502441406
512,800,67.9975196838379,67.20332107543945
512,900,78.93562545776368,78.1655174255371
512,1000,85.15645828247071,84.16317443847656
512,1100,99.9971076965332,99.03505172729493
512,1200,109.84833755493165,105.18554611206055
512,1300,118.8752540588379,117.8562400817871
512,1400,124.85338821411133,123.49481048583985
512,1500,146.1480743408203,142.24344787597656
512,1600,150.0492736816406,148.8044448852539
512,1700,167.90369873046876,166.68292541503905
512,1800,174.71051330566405,173.38262786865235
512,1900,190.8689987182617,188.99360198974608
512,2000,193.97823791503907,192.56338958740236
512,2100,218.65286102294922,217.3552215576172
512,2200,226.28278350830078,223.11231842041016
512,2300,245.48473052978517,243.91938323974608
512,2400,245.3748519897461,243.75555114746095
512,2500,272.8115936279297,271.1339416503906
512,2600,272.1020965576172,270.4019836425781
512,2700,308.5006805419922,304.24791259765624
512,2800,298.9453643798828,297.21043090820314
512,2900,334.5794952392578,331.7635467529297
512,3000,337.88245849609376,335.9909149169922
