case,context_len,draft_len,cuda_ms_mean,cuda_ms_std,cuda_ms_min,cuda_ms_max,wall_ms_mean,wall_ms_std,wall_ms_min,wall_ms_max,accepted_count_mean,rejected_index_mean
classic_spec_sampling,512,100,20.932137298583985,0.038690676774792876,20.87718391418457,21.004703521728516,20.969613641500473,0.039438478950435445,20.913701504468918,21.04281261563301,0.0,0.0
classic_spec_sampling,512,200,23.957763290405275,0.01205680530950822,23.94326400756836,23.985952377319336,23.996509984135628,0.012384188638266234,23.982495069503784,24.024344980716705,0.0,0.0
classic_spec_sampling,512,300,29.0953950881958,0.04684600543924752,29.052608489990234,29.207616806030273,29.133756458759308,0.04917042696919392,29.089532792568207,29.251981526613235,0.0,0.0
classic_spec_sampling,512,400,34.7667293548584,0.06271046551002606,34.659584045410156,34.87196731567383,34.806591644883156,0.06348374927803699,34.699760377407074,34.91195663809776,0.0,0.0
classic_spec_sampling,512,500,37.228268432617185,0.21573282019057147,36.8197135925293,37.60335922241211,37.266720458865166,0.21687216789685798,36.85661405324936,37.643641233444214,0.0,0.0
classic_spec_sampling,512,600,49.462588500976565,0.26955900907871505,49.13411331176758,49.82217788696289,49.50130507349968,0.2694349440242357,49.1722971200943,49.86279830336571,0.0,0.0
classic_spec_sampling,512,700,59.41180152893067,0.3206885900657427,59.162750244140625,59.990943908691406,59.45017673075199,0.32042673972753394,59.20250341296196,60.027576982975006,0.0,0.0
classic_spec_sampling,512,800,67.9975196838379,0.36899518758528926,67.606689453125,68.50569915771484,68.0346667766571,0.368968255544282,67.64393299818039,68.5427114367485,0.0,0.0
classic_spec_sampling,512,900,78.93562545776368,0.12204245212567655,78.80038452148438,79.09385681152344,78.97364385426044,0.1214147633948196,78.8361132144928,79.13379371166229,0.0,0.0
classic_spec_sampling,512,1000,85.15645828247071,0.28434374340889773,84.99478149414062,85.95283508300781,85.19542030990124,0.2849020913038885,85.0314050912857,85.99338680505753,0.0,0.0
classic_spec_sampling,512,1100,99.9971076965332,0.08541655199503753,99.89202880859375,100.12242889404297,100.0349972397089,0.08687349835825214,99.9285914003849,100.15975683927536,0.0,0.0
classic_spec_sampling,512,1200,109.84833755493165,11.947948491157907,106.0165786743164,143.8526153564453,109.88734178245068,11.949313843908621,106.05517029762268,143.89550313353539,0.0,0.0
classic_spec_sampling,512,1300,118.8752540588379,0.048654531419497576,118.81536102294922,118.97289276123047,118.91309842467308,0.050152010230969615,118.8538447022438,119.01479586958885,0.0,0.0
classic_spec_sampling,512,1400,124.85338821411133,0.8063755286523093,124.52252960205078,127.14486694335938,124.89133402705193,0.807989380704811,124.55885112285614,127.18738242983818,0.0,0.0
classic_spec_sampling,512,1500,146.1480743408203,8.805152676072055,143.28150939941406,171.20758056640625,146.18668481707573,8.806070766853992,143.32154020667076,171.24878615140915,0.0,0.0
classic_spec_sampling,512,1600,150.0492736816406,0.0968343704124619,149.95904541015625,150.2751007080078,150.08757673203945,0.09678556641709325,149.99709278345108,150.31040087342262,0.0,0.0
classic_spec_sampling,512,1700,167.90369873046876,0.043615197300335265,167.84860229492188,167.98521423339844,167.94046387076378,0.04382614836846321,167.8847037255764,168.02158951759338,0.0,0.0
classic_spec_sampling,512,1800,174.71051330566405,0.05390712847507867,174.65750122070312,174.8480682373047,174.74852912127972,0.05440716832167359,174.6962070465088,174.88669604063034,0.0,0.0
classic_spec_sampling,512,1900,190.8689987182617,2.679464417406453,189.946044921875,198.49395751953125,190.9063283354044,2.6811959585268674,189.9818666279316,198.53617995977402,0.0,0.0
classic_spec_sampling,512,2000,193.97823791503907,0.0504593103430008,193.9206085205078,194.08726501464844,194.01743486523628,0.05149054107187898,193.96039471030235,194.12917643785477,0.0,0.0
classic_spec_sampling,512,2100,218.65286102294922,0.10752645118853264,218.52919006347656,218.8488006591797,218.69273632764816,0.10815767891676165,218.56693550944328,218.88386085629463,0.0,0.0
classic_spec_sampling,512,2200,226.28278350830078,6.2698131735743825,224.23587036132812,244.12655639648438,226.32039487361908,6.270936659796069,224.2727279663086,244.16736140847206,0.0,0.0
classic_spec_sampling,512,2300,245.48473052978517,0.04300675376243229,245.41200256347656,245.5569305419922,245.52183970808983,0.044180957335754986,245.4467937350273,245.59620022773743,0.0,0.0
classic_spec_sampling,512,2400,245.3748519897461,0.07916143165356684,245.2394561767578,245.50933837890625,245.4117562621832,0.07961579598838361,245.27576565742493,245.54476141929626,0.0,0.0
classic_spec_sampling,512,2500,272.8115936279297,0.0799514782787362,272.71551513671875,272.94873046875,272.8487953543663,0.08078028696621271,272.74972945451736,272.9853168129921,0.0,0.0
classic_spec_sampling,512,2600,272.1020965576172,0.04517127169707116,272.0450744628906,272.18548583984375,272.14039489626884,0.04429774668158482,272.0840200781822,272.22078293561935,0.0,0.0
classic_spec_sampling,512,2700,308.5006805419922,8.028808950701045,305.8782043457031,331.3506164550781,308.5367266088724,8.029099579337487,305.9135116636753,331.3874825835228,0.0,0.0
classic_spec_sampling,512,2800,298.9453643798828,0.05837201983171499,298.86492919921875,299.015869140625,298.9821143448353,0.05886813788352299,298.9014722406864,299.0528643131256,0.0,0.0
classic_spec_sampling,512,2900,334.5794952392578,2.913641089457688,333.5789489746094,342.87091064453125,334.61826108396053,2.914859196997711,333.61486345529556,342.91309118270874,0.0,0.0
classic_spec_sampling,512,3000,337.88245849609376,0.07042006547661317,337.7761535644531,338.0158386230469,337.92123049497604,0.07247826349249131,337.81249076128006,338.0562774837017,0.0,0.0
target_only,512,100,20.49783363342285,0.03925458149504664,20.455711364746094,20.586463928222656,20.527390018105507,0.03896473699379905,20.486358553171158,20.61496675014496,,
target_only,512,200,23.464064025878905,0.03663319091866368,23.422719955444336,23.540672302246094,23.494236171245575,0.03752776633798597,23.45219999551773,23.572932928800583,,
target_only,512,300,28.596748924255373,0.07037457305776819,28.54150390625,28.789823532104492,28.627723827958107,0.07452624436049651,28.570491820573807,28.832636773586273,,
target_only,512,400,34.18225631713867,0.0937369082295229,33.96473693847656,34.30758285522461,34.212639182806015,0.0937244243909266,33.99593383073807,34.338559955358505,,
target_only,512,500,36.690403366088866,0.26419296667000375,36.37004852294922,37.33513641357422,36.72143034636974,0.26444667636609775,36.40177100896835,37.366047501564026,,
target_only,512,600,48.826633834838866,0.3310596739714478,48.34128189086914,49.23875045776367,48.857779428362846,0.3301720984741384,48.37028309702873,49.267470836639404,,
target_only,512,700,58.91627502441406,0.42926042241926315,58.50185775756836,59.523582458496094,58.94620791077614,0.4289154558286548,58.53142589330673,59.553466737270355,,
target_only,512,800,67.20332107543945,0.3973126347444666,66.87071990966797,67.8265609741211,67.23382771015167,0.3980917455147505,66.90138578414917,67.86104664206505,,
target_only,512,900,78.1655174255371,0.421742194435958,77.92752075195312,79.32009887695312,78.19484770298004,0.42159280018751666,77.95685529708862,79.34900000691414,,
target_only,512,1000,84.16317443847656,0.09603207503946917,84.08070373535156,84.41542053222656,84.19222049415112,0.09648100507309126,84.1098390519619,84.44570377469063,,
target_only,512,1100,99.03505172729493,0.049606451148265014,98.9754867553711,99.14246368408203,99.06451962888241,0.050007698906433244,99.00441020727158,99.1738773882389,,
target_only,512,1200,105.18554611206055,0.3475484312387471,105.00701141357422,106.16201782226562,105.21588437259197,0.35044733176127957,105.03730177879333,106.20051249861717,,
target_only,512,1300,117.8562400817871,0.06996988518846733,117.76191711425781,117.99779510498047,117.88594610989094,0.07029189116918691,117.79053509235382,118.02785098552704,,
target_only,512,1400,123.49481048583985,0.03426260876757716,123.42758178710938,123.54307556152344,123.52546416223049,0.03507286553629884,123.4574019908905,123.57985600829124,,
target_only,512,1500,142.24344787597656,0.08653450542995418,142.13401794433594,142.43417358398438,142.27318093180656,0.08847409249779037,142.16229692101479,142.4696110188961,,
target_only,512,1600,148.8044448852539,0.05807265408934362,148.70912170410156,148.9154510498047,148.83428998291492,0.058954248270979503,148.73690158128738,148.94713088870049,,
target_only,512,1700,166.68292541503905,0.08138094291356025,166.60946655273438,166.86773681640625,166.7129546403885,0.08562853234440948,166.63888096809387,166.91217198967934,,
target_only,512,1800,173.38262786865235,0.05788189595765563,173.30429077148438,173.4740447998047,173.411962762475,0.05864546434603305,173.33189025521278,173.50536212325096,,
target_only,512,1900,188.99360198974608,1.0188544502965875,188.61375427246094,191.8922882080078,189.02319706976414,1.0195676291959994,188.64110112190247,191.9238604605198,,
target_only,512,2000,192.56338958740236,0.0531029741132593,192.51370239257812,192.66444396972656,192.59439781308174,0.054678785240574616,192.54466518759727,192.70174577832222,,
target_only,512,2100,217.3552215576172,0.5723510282091105,217.11375427246094,218.98165893554688,217.38620027899742,0.5736742808832256,217.14290231466293,219.01630237698555,,
target_only,512,2200,223.11231842041016,0.8987112445282527,222.77798461914062,225.66493225097656,223.14119637012482,0.899218054570742,222.80898690223694,225.6951928138733,,
target_only,512,2300,243.91938323974608,0.04786375330021727,243.86598205566406,244.01356506347656,243.94879899919033,0.0480037465501786,243.89467760920525,244.04286220669746,,
target_only,512,2400,243.75555114746095,0.03407562080803797,243.6998748779297,243.8055419921875,243.78770664334297,0.03876686889635463,243.7283955514431,243.86097118258476,,
target_only,512,2500,271.1339416503906,0.019726188370741516,271.10723876953125,271.1708984375,271.1663067340851,0.02237454802797139,271.136287599802,271.20106667280197,,
target_only,512,2600,270.4019836425781,0.0809489097453261,270.29833984375,270.5807800292969,270.42987383902073,0.0804657686089385,270.32675221562386,270.60719206929207,,
target_only,512,2700,304.24791259765624,0.13582632200306824,304.1468505859375,304.6204833984375,304.27606627345085,0.13574083946283544,304.1747361421585,304.6479783952236,,
target_only,512,2800,297.21043090820314,0.06726895909274529,297.1533203125,297.37774658203125,297.23940417170525,0.06731664428871328,297.18053340911865,297.4057234823704,,
target_only,512,2900,331.7635467529297,0.04790207074306463,331.6939697265625,331.85125732421875,331.79243616759777,0.04930175302557561,331.7226469516754,331.88242837786674,,
target_only,512,3000,335.9909149169922,0.07217996986744317,335.9117431640625,336.16864013671875,336.0223051160574,0.07471025850508688,335.9410725533962,336.2039886415005,,
