group,num_samples,local_positive_rate,path_positive_rate,local_pearson,local_spearman,local_auc,path_pearson,path_spearman,path_auc
all,10880,0.15551470588235294,0.00505514705882353,0.5435744864997569,0.4298909562700522,0.8424411183360762,0.5882753082353048,0.12025060675784593,0.9894747008188117
depth=1,128,0.1875,0.1875,0.6512744206721098,0.5048792583979405,0.8733974358974359,0.6512744206721098,0.5048792583979405,0.8733974358974359
depth=2,512,0.1484375,0.029296875,0.6615952645763263,0.48660598504302566,0.8950989859971028,0.5113666311607604,0.26850254261747797,0.9596244131455399
depth=3,2048,0.1455078125,0.00439453125,0.5463237738600318,0.42992850246370135,0.8519721955896452,0.504997429094584,0.10997235074980598,0.9799465969156994
depth=4,8192,0.157958984375,0.0008544921875,0.5338290741590156,0.4249442592504681,0.8363586112140562,0.3144919933116281,0.04950943179475506,0.9891351775896675
