context_len,draft_len,classic_spec_sampling,target_only
16,1,15.715622329711914,15.039747142791748
16,2,16.241110420227052,15.78173761367798
16,3,16.37361259460449,15.856294345855712
16,4,16.076860904693604,15.50938892364502
16,5,17.955103969573976,15.732537460327148
16,6,16.967325019836426,15.883686447143555
16,7,18.334617614746094,15.668150520324707
16,8,16.55378875732422,16.25939836502075
16,9,18.225490951538085,16.03176956176758
16,10,16.56208953857422,16.008370876312256
16,11,18.222540855407715,16.850601863861083
16,12,16.846188926696776,17.357353591918944
16,13,16.897689437866212,16.81669464111328
16,14,17.16297264099121,16.440607833862305
16,15,16.942905616760253,17.04970588684082
16,16,18.746272087097168,16.21131181716919
16,17,17.454239654541016,16.960880088806153
16,18,17.887837219238282,18.99141445159912
16,19,17.954809761047365,17.693721771240234
16,20,18.293008232116698,17.70982093811035
16,21,19.13929901123047,18.255331230163574
16,22,19.093139266967775,20.057244491577148
16,23,19.42573127746582,21.63627510070801
16,24,19.272335815429688,19.87047710418701
16,25,18.9666015625,18.922470474243163
16,26,19.81237449645996,21.74839344024658
16,27,20.498979377746583,20.565852928161622
16,28,20.547955131530763,19.967871856689452
16,29,22.09350700378418,19.81284828186035
16,30,22.17419548034668,20.545574188232422
16,31,20.95517749786377,20.497219276428222
16,32,20.64951362609863,19.944947052001954
16,33,25.6447847366333,19.74841938018799
16,34,19.41524486541748,18.934035301208496
16,35,18.52105293273926,17.90052185058594
16,36,20.875283622741698,18.380937576293945
16,37,20.11137580871582,19.501139068603514
16,38,19.166668510437013,26.646601486206055
16,39,19.53350715637207,18.821094703674316
16,40,22.49056625366211,23.194377136230468
16,41,20.27633285522461,24.523379135131837
16,42,19.656345748901366,18.77077751159668
16,43,26.279104042053223,18.7975133895874
16,44,19.517814254760744,18.710131072998045
16,45,20.314617156982422,19.880720329284667
16,46,19.399100685119627,18.703423690795898
16,47,19.98311367034912,23.341341400146483
16,48,19.050364875793456,18.348230361938477
16,49,20.624313735961913,25.457903480529787
16,50,19.91147518157959,19.308095932006836
16,51,23.376268577575683,19.250483322143555
16,52,19.732592010498045,25.11019172668457
16,53,20.972928047180176,19.760358238220213
16,54,19.720195388793947,19.045891189575194
16,55,20.50914897918701,20.133081436157227
16,56,20.103011512756346,21.54054412841797
16,57,20.582134246826172,19.764038467407225
16,58,20.517462158203124,19.85176639556885
16,59,21.051420593261717,20.859731101989745
16,60,25.402681350708008,19.670329666137697
16,61,20.65568962097168,19.665775871276857
16,62,20.31056957244873,26.833676910400392
16,63,20.178927993774415,19.858179092407227
16,64,20.427292823791504,19.97148189544678
16,65,20.11650562286377,19.377174186706544
16,66,21.22349433898926,24.44675521850586
16,67,20.337363243103027,19.390524864196777
16,68,20.391206169128417,20.626309967041017
16,69,20.616070175170897,19.893587112426758
16,70,21.950265884399414,23.74352321624756
16,71,22.468956756591798,21.681139183044433
16,72,22.199773025512695,23.64299201965332
16,73,21.94792022705078,21.224112129211427
16,74,25.470717239379884,22.487046241760254
16,75,22.515148735046388,21.735490989685058
16,76,25.419494438171387,21.728192138671876
16,77,23.53199348449707,21.792652702331544
16,78,25.224758529663085,21.77119998931885
16,79,22.40095043182373,21.730655860900878
16,80,23.963497352600097,21.748383712768554
16,81,22.835894203186037,21.963638687133788
16,82,24.81022720336914,22.96085433959961
16,83,23.014592170715332,22.584655952453613
