sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
54,64,chat,path_7210d47f-b8c8-4045-8ba3-647c09a472d3#selected_10,True,130,3.3402843,0.32200193,0.0029634438,29908,0.050237894,1.0222052e-08,2.0347294e-07,0,0.08246014,0.36261153,4.424267e-06
55,64,json_config,json_row_81#selected_4,True,906,1.5510092,0.1495166,2.863995,29906,0.6670924,0.13764285,0.2063325,0,0.44998994,0.6670924,0.13764285
56,64,natural_language,article_191#selected_2,True,295,4.594896,0.44294593,4.8320017,1302,0.00047347884,4.426391e-06,0.009348657,0,0.4005148,0.18513809,0.009485377
57,64,json_config,json_row_645#selected_6,True,632,3.4387214,0.33149123,2.7746437,29947,0.074674815,0.05292291,0.7087116,0,0.7928721,0.08937405,0.05292291
58,64,natural_language,article_936#selected_6,True,991,4.3532705,0.41965336,1.3544986,8957,0.00080919976,3.8513744e-07,0.00047594853,0,0.46614158,0.31333563,0.71736854
59,64,code,metapensiero/metapensiero.signal:src/metapensiero/signal/user.py:SignalAndHandlerInitMeta._find_local_signals#selected_8,True,236,0.84519625,0.08147655,0.11866686,13,0.81918,0.98048854,1.0,1,0.8320418,0.81918,0.98048854
60,64,natural_language,article_1197#selected_17,True,162,6.390975,0.6160872,3.6595392,4502,0.00086284097,1.6546719e-05,0.019177021,0,0.25276724,0.04860494,0.024996733
61,64,code,Parquery/icontract:icontract/_metaclass.py:_collapse_invariants#selected_3,True,185,2.868147,0.2764881,0.36432773,1678,0.61531484,0.8834302,1.0,1,0.6180402,0.61531484,0.8834302
62,64,json_config,json_row_957#selected_3,True,504,3.8177812,0.36803243,8.611846e-06,29871,0.005613031,1.0796444e-10,1.9234607e-08,0,0.08057271,0.10185277,1.05716964e-07
63,64,math,geometry_test_207#selected_5,True,407,6.4237576,0.6192474,1.9565752,4818,0.0062767575,0.002337805,0.37245426,0,0.050315693,0.07239708,0.00080792385
64,64,natural_language,article_476#selected_14,True,553,0.14028281,0.013523201,0.0072463425,852,0.98416346,0.9992482,1.0,1,0.9849037,0.98416346,0.9992482
65,64,chat,path_ee3c44d5-4369-4734-83cc-49c95ba33390#selected_6,True,276,4.6509123,0.4483459,0.7801354,920,0.06178934,6.1802903e-06,0.00010002195,0,0.12926641,0.14199077,9.517718e-05
66,64,json_config,json_row_907#selected_9,True,1161,3.1706688,0.30565107,2.4287858,29906,0.081415884,0.04422649,0.54321694,1,0.5587658,0.1999381,0.086591266
67,64,code,Parquery/icontract:icontract/_metaclass.py:_collapse_preconditions#selected_5,True,292,5.40252,0.5208006,1.9203533,29918,0.2373589,2.9185441e-05,0.00012295911,0,0.030124547,0.2373589,2.9185441e-05
68,64,code,RI-imaging/qpimage:qpimage/holo.py:get_field#selected_10,True,1758,2.875822,0.277228,0.35493264,16845,3.008456e-05,1.2048441e-08,0.00040048588,0,0.46954983,0.40745425,0.90346485
69,64,math,geometry_train_280#selected_3,True,918,6.265649,0.6040058,0.67115134,7609,0.00023312384,3.7058274e-09,1.589639e-05,0,0.030967236,0.11658938,2.1618256e-05
70,64,code,pyout/pyout:pyout/interface.py:Writer._write_lock#selected_7,True,130,5.805357,0.55963385,1.8160064,1993,0.0014458712,2.2082811e-07,0.00015273014,0,0.022130068,0.23659937,7.1214606e-07
71,64,chat,path_380eec33-8b28-43ff-89e5-f07e6c4e737e#selected_17,True,198,0.18865907,0.018186651,0.0008597688,22137,0.97556406,0.99993145,1.0,1,0.9756274,0.97556406,0.99993145
72,64,chat,path_6bc3abc5-0e2d-4d98-84ca-d9d9055b2061#selected_7,True,233,5.7021112,0.549681,1.4922559,4868,0.0043899855,5.6736353e-06,0.0012924041,0,0.08496349,0.09133025,7.115271e-07
73,64,math,algebra_test_274#selected_15,True,184,2.1203113,0.20439707,0.35153183,29906,0.004027615,1.8706284e-07,4.6445068e-05,0,0.11793993,0.5659393,0.000792547
74,64,natural_language,article_960#selected_1,True,284,5.562634,0.53623545,2.021593,11647,0.0029030538,1.9596677e-05,0.0067503667,0,0.09994951,0.0628017,0.004248266
