dataset,strategy,n,tpot_wall_ms_mean,tpot_wall_ms_std,tpot_cuda_ms_mean,speedup_vs_target_wall_mean,latency_reduction_wall_mean,acceptance_rate_mean,mean_uploaded_g,mean_generated_g,rounds_mean
gsm8k,adaptive_entropy,3,21.49864685445748,3.1806620166993147,21.49744302255136,0.644965463447427,-0.5755365147672561,0.46349206349206346,1.5056980056980056,2.505698005698006,11.333333333333334
gsm8k,fixed_g2,3,20.359558562092758,4.699564079164519,20.358388547544127,0.6945808904312295,-0.4920655000713751,0.4761904761904762,2.0,2.0,10
gsm8k,fixed_g4,3,17.917507400710797,4.847234532373823,17.916388067353306,0.808252918511172,-0.3131035592593699,0.49754901960784315,4.0,4.0,9.333333333333334
gsm8k,fixed_g8,3,19.979640341329354,6.283102249769489,19.978541762740523,0.7427441080483977,-0.4642340113986632,0.48992374727668847,8.0,8.0,9
gsm8k,target_only,3,13.645434752106667,0.0015599354438459911,13.643173217773438,,,0.0,0.0,0.0,16
mbpp,adaptive_entropy,3,28.514067450647843,1.1657714765495266,28.512987997017653,0.4733114144359132,-1.115231068942708,0.09067460317460317,1.2882936507936509,2.288293650793651,15
mbpp,fixed_g2,3,28.473558163063394,1.0325199372564713,28.472530435632777,0.4738513718200029,-1.1122250679531092,0.1017156862745098,2.0,2.0,15
mbpp,fixed_g4,3,29.035723488777876,2.2974128771093985,29.034705225626627,0.4662532235053766,-1.1539257585168747,0.13267543859649122,4.0,4.0,15
mbpp,fixed_g8,3,33.12675553994874,2.674736100424173,33.125770823160806,0.4087294859706777,-1.457410313512533,0.12916666666666668,8.0,8.0,15
mbpp,target_only,3,13.480493954072395,0.005841993708230018,13.479107856750488,,,0.0,0.0,0.0,16
wikitext,adaptive_entropy,3,18.99704567008613,3.8596723729093365,18.99598398395613,0.7503224936174401,-0.3727993667249904,0.5384615384615384,1.711111111111111,2.6694444444444443,10
wikitext,fixed_g2,3,18.248528324286728,4.071712642468308,18.247250463448317,0.7903831438494002,-0.32065853856687493,0.5515873015873016,2.0,2.0,9
wikitext,fixed_g4,3,17.54486935440993,5.545499521378571,17.543789797646095,0.84924453998098,-0.2713628294077104,0.5138888888888888,4.0,4.0,8.666666666666666
wikitext,fixed_g8,3,18.384467443005327,7.383346725863244,18.383391489554484,0.840864670483031,-0.33365281152986387,0.5409858387799564,8.0,8.0,8
wikitext,target_only,3,13.872301438823342,0.33637851513747924,13.871041933695475,,,0.0,0.0,0.0,16
