dataset,prompt_index,strategy,fixed_g,output_tokens,wall_ms,cuda_ms,rounds,accepted_tokens,verified_tokens,proposed_tokens,draft_generated_tokens,mean_uploaded_g,mean_generated_g,acceptance_rate,tpot_wall_ms,tpot_cuda_ms,speedup_vs_target_wall,speedup_vs_target_cuda,latency_reduction_wall,latency_reduction_cuda
wikitext,764,fixed_g4,4,19,236.30161955952644,236.28367614746094,7,12,18,28,28,4.0,4.0,0.6666666666666666,12.436927345238233,12.435982955129523,1.1449118495627417,1.1449000859665819,0.12657031160790733,0.1265613373102772
wikitext,764,fixed_g8,8,19,230.3127497434616,230.2928009033203,6,13,18,48,48,8.0,8.0,0.7222222222222222,12.121723670708505,12.120673731753701,1.1746832279407897,1.1746837073178682,0.1487066672834072,0.1487070146879963
wikitext,764,adaptive_entropy,,18,314.9189502000809,314.901123046875,10,8,13,13,23,1.3,2.3,0.6153846153846154,17.495497233337826,17.4945068359375,0.8138771536359224,0.8138530618741933,-0.22868665809402633,-0.2287230298023768
wikitext,1409,target_only,,16,217.2546684741974,217.23526000976562,16,0,0,0,0,0.0,0.0,0.0,13.578416779637337,13.577203750610352,,,,
wikitext,1409,fixed_g2,2,16,354.63689640164375,354.61822509765625,11,5,15,22,22,2.0,2.0,0.3333333333333333,22.164806025102735,22.163639068603516,0.6126115773022832,0.6125891018430947,-0.6323556998443178,-0.6324155898159198
wikitext,1409,fixed_g4,4,16,375.0900514423847,375.0718688964844,11,5,16,44,44,4.0,4.0,0.3125,23.443128215149045,23.441991806030273,0.5792066935360148,0.5791830260395245,-0.7264993846930057,-0.7265699356523583
wikitext,1409,fixed_g8,8,16,424.40902069211006,424.3913879394531,11,5,16,88,88,8.0,8.0,0.3125,26.52556379325688,26.52446174621582,0.5118992714148883,0.5118748075084832,-0.9535093246685087,-0.9536026882577671
wikitext,1409,adaptive_entropy,,16,374.1094022989273,374.0920715332031,12,4,13,13,25,1.0833333333333333,2.0833333333333335,0.3076923076923077,23.381837643682957,23.380754470825195,0.5807249621077495,0.5806999841494491,-0.7219855615823465,-0.7220596302662199
wikitext,787,target_only,,16,220.7888327538967,220.76742553710938,16,0,0,0,0,0.0,0.0,0.0,13.799302047118545,13.797964096069336,,,,
wikitext,787,fixed_g2,2,17,315.23728743195534,315.2188720703125,9,8,14,18,18,2.0,2.0,0.5714285714285714,18.54336984893855,18.542286592371322,0.7441636638611528,0.7441349818067261,-0.34379041676318844,-0.3438422120299265
wikitext,787,fixed_g4,4,17,284.8273925483227,284.8077087402344,8,9,16,32,32,4.0,4.0,0.5625,16.75455250284251,16.75339463177849,0.8236150768441837,0.8235921375538316,-0.21415941513803283,-0.2141932327937479
wikitext,787,fixed_g8,8,17,280.60395270586014,280.5856628417969,7,10,17,56,56,8.0,8.0,0.5882352941176471,16.506114865050595,16.505038990693933,0.8360115120934152,0.8359849439828084,-0.19615577720449018,-0.19619379176350882
wikitext,787,adaptive_entropy,,17,273.93463626503944,273.9157409667969,8,9,13,22,29,2.75,3.625,0.6923076923076923,16.113802133237613,16.112690645105697,0.8563653651086484,0.8563414019408688,-0.16772588049859838,-0.16775855719872212
