sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
12,128,math,math_template_196,True,141,5.487659,0.5290079,0.30555177,24687,0.037614197,9.483247e-05,0.0025211882,0,0.20346048,0.19555058,0.9415068
13,128,json_config,json_config_template_20,True,146,2.6780744,0.25816518,0.85557395,353,0.29571888,0.06850101,0.23164234,1,0.45188037,0.34844196,0.6811098
14,128,json_config,json_config_template_154,True,150,4.5759835,0.4411228,1.0315996,10401,0.00014867437,1.0335398e-07,0.00069517014,0,0.41921645,0.3945683,0.7122998
15,128,code,code_template_113,True,189,5.1972804,0.50101554,1.1080137,29918,0.0656641,5.207291e-08,7.9301947e-07,0,0.036192793,0.19603677,1.1133678e-06
16,128,json_config,json_config_template_155,True,145,4.746009,0.45751318,0.28734326,313,0.009151686,5.302007e-06,0.0005793476,0,0.26411876,0.21157151,0.94404507
17,128,natural_language,natural_template_122,True,149,2.7943268,0.26937187,0.04573549,29889,0.2925774,0.0002558683,0.00087453204,0,0.32390472,0.31883273,0.9947909
18,128,natural_language,natural_template_210,True,245,4.481988,0.43206167,0.004433956,31117,0.0018146941,1.3594193e-08,7.491176e-06,0,0.18185581,0.1815236,0.9996582
19,128,math,math_template_216,True,141,5.4841576,0.5286704,0.29611528,995,0.018508814,7.86239e-06,0.00042479165,0,0.2051307,0.19743997,0.94354856
20,128,natural_language,natural_template_115,True,235,4.666211,0.4498207,0.14960696,30210,0.04397845,4.470132e-07,1.0164369e-05,0,0.027741782,0.15470378,8.0628064e-07
21,128,code,code_template_14,True,178,1.7679366,0.1704283,0.19659184,29906,0.008876673,1.2136859e-06,0.00013672757,0,0.021128634,0.67286974,4.2938535e-07
22,128,code,code_template_6,True,217,2.9585829,0.28520608,1.1123227,4706,0.30852118,0.00017671358,0.0005727762,0,0.1870303,0.30852118,0.00017671358
23,128,chat,chat_template_104,True,160,2.3197846,0.22362623,1.6455139,322,0.024202775,0.001014178,0.041903377,0,0.69288164,0.44609407,0.5172123
24,128,json_config,json_config_template_94,True,150,5.079612,0.48967233,1.1157712,12148,0.0010599286,7.248318e-08,6.838497e-05,0,0.3403287,0.312843,0.69847447
25,128,natural_language,natural_template_212,True,154,5.8000956,0.5591267,4.0650425,10296,0.0005584919,0.00039491392,0.70710766,0,0.3314835,0.058776077,0.0010404595
26,128,chat,chat_template_153,True,168,4.3812313,0.42234877,4.173764,450,0.064216465,0.081102446,1.0,1,0.38632894,0.28555855,0.038913377
27,128,code,code_template_35,True,135,6.6463537,0.6407056,0.025219591,474,0.014447709,2.3864372e-10,1.6517756e-08,0,0.0030693654,0.051825356,0.00012104712
28,128,chat,chat_template_149,True,130,2.080387,0.20054841,0.25176302,654,0.19034265,0.0011982751,0.006295358,0,0.19379728,0.26016757,0.017885821
29,128,code,code_template_173,True,189,5.1972804,0.50101554,1.1080137,29871,0.0025760857,5.741474e-08,2.228759e-05,0,0.036192793,0.19603677,1.1133678e-06
30,128,natural_language,natural_template_25,True,249,0.10783063,0.010394826,0.0015762773,136,0.98503333,0.999887,1.0,1,0.98511755,0.98503333,0.999887
31,128,json_config,json_config_template_146,True,145,4.809164,0.4636013,0.39011762,1959,0.0021645261,9.855667e-08,4.5532677e-05,0,0.2826987,0.21399473,0.92140746
32,128,math,math_template_56,True,139,0.3615911,0.034857225,0.012630656,29885,0.91151613,0.99850935,1.0,1,0.9129664,0.91151613,0.99850935
33,128,chat,chat_template_86,True,130,2.0747876,0.20000862,0.206191,11407,0.19321965,0.9586567,1.0,1,0.23448403,0.27894512,0.012450778
34,128,json_config,json_config_template_89,True,145,4.8073397,0.46342543,0.3263204,278,0.020703267,4.050622e-08,1.9565134e-06,0,0.26865217,0.21156037,0.93727446
35,128,json_config,json_config_template_140,True,146,2.6865644,0.25898364,0.8655471,29892,0.010614908,1.1420922e-07,1.0759322e-05,0,0.45551917,0.34878197,0.67605305
36,128,json_config,json_config_template_80,True,147,6.891759,0.66436255,0.7531918,13400,0.0019923882,0.0029019595,1.0,1,0.02659231,0.015856074,2.2458387e-06
37,128,chat,chat_template_23,True,171,5.2969084,0.51061964,1.3779404,21711,4.5661713e-07,4.4676355e-08,0.097842045,0,0.12080708,0.2092419,0.02383001
38,128,json_config,json_config_template_186,True,191,3.539523,0.34120846,0.10108458,29908,0.10490649,9.879941e-10,9.417855e-09,0,0.10686744,0.25363135,5.7111756e-05
39,128,math,math_template_83,True,171,5.118352,0.4934069,4.438467,7639,0.0017727859,0.00040996703,0.2312558,0,0.4052506,0.1424899,0.0466511
40,128,code,code_template_204,True,178,1.7679366,0.1704283,0.19659184,29889,0.67286974,4.2938535e-07,6.3814036e-07,0,0.021128634,0.67286974,4.2938535e-07
