context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,greedy_accept_top1_rate,greedy_accept_top2_rate,greedy_top2_gain_mean,seq_accept_top1_mean,seq_accept_top2_mean,seq_top2_gain_mean,seq_minus_greedy_top2,target_mass_on_draft_top2_mean,draft_top2_mass_mean,target_entropy_mean,seq_relative_gain_over_greedy_top2
64,0,3,0.5160655725436906,0.005980755668133497,1.5116311311721802,0.6666666666666666,1.0,0.3333333333333333,0.6666799416889262,1.0,0.33332006136576336,0.0,0.9967286388079325,0.9195777575174967,0.02489048314358418,0.0
64,1,2,2.2079923152923584,2.1549081802368164,2.2610764503479004,0.5,0.5,0.0,0.5146069135516882,0.5406882762908936,0.02608136273920536,0.040688276290893555,0.3820798322558403,0.7410228848457336,0.6551762372255325,0.08137655258178711
64,2,3,3.163823127746582,3.034533739089966,3.331738233566284,0.0,0.0,0.0,0.13926338506341077,0.2551022929837927,0.11583890791371232,0.2551022929837927,0.030808907334479347,0.38693005839983624,0.9083358744780222,
64,3,2,3.4256207942962646,3.3922922611236572,3.458949327468872,0.0,0.0,0.0,0.33102020621299744,0.6183601766824722,0.2873399704694748,0.6183601766824722,0.10551179572939873,0.3297034502029419,2.1747692823410034,
64,4,3,3.5744048754374185,3.4778995513916016,3.669797420501709,0.0,0.0,0.0,0.19667228064728595,0.29885771211056067,0.10218543146327501,0.29885771211056067,0.040068051859480334,0.20451091726620993,1.1879654162524578,
64,5,2,4.0273154973983765,3.9844186305999756,4.070212364196777,0.0,0.0,0.0,0.11450639408030838,0.14351750261266716,0.029011108534177765,0.14351750261266716,0.03722949793518637,0.3703503906726837,1.4578856229782104,
64,6,2,4.429827690124512,4.422033309936523,4.4376220703125,0.5,0.5,0.0,0.5000084072771642,0.5000095472842077,1.1400070434319787e-06,9.547284207656048e-06,0.498555893003072,0.2375582903623581,0.8948876317590475,1.9094568415312096e-05
64,7,3,5.1439315478007,4.8935160636901855,5.356749534606934,0.3333333333333333,0.3333333333333333,0.0,0.36499764505424537,0.37054490732649964,0.005547262262552977,0.037211573993166325,0.12014713464789868,0.20155967772006989,2.09280788898468,0.11163472197949897
64,8,2,6.104214191436768,6.054466724395752,6.153961658477783,0.0,0.0,0.0,4.881353490304718e-07,0.00033178368570219163,0.0003312955425940345,0.00033178368570219163,1.34142037762075e-05,0.09769301861524582,0.44451477681286633,
64,9,3,6.3097028732299805,6.17740535736084,6.539572715759277,0.0,0.0,0.0,0.015999515573925056,0.19179068537792432,0.17579117930155044,0.19179068537792432,0.007271775214202118,0.1241408462325732,0.7709213693936666,
