context_len,draft_len,classic_spec_sampling,target_only
2048,100,25.40394229888916,24.940940856933594
2048,200,30.31457633972168,29.883106994628907
2048,300,38.92397804260254,37.10924186706543
2048,400,48.10795783996582,47.57708511352539
2048,500,59.08321647644043,58.47053108215332
2048,600,69.02839660644531,68.41845016479492
2048,700,84.9543556213379,84.21078033447266
2048,800,91.15419921875,90.37832641601562
2048,900,108.0004768371582,107.1658821105957
2048,1000,111.10652542114258,110.25415496826172
2048,1100,133.52763977050782,132.5732177734375
2048,1200,135.77145690917968,135.23173065185546
2048,1300,158.04839477539062,158.39354553222657
2048,1400,158.15403442382814,157.13276062011718
2048,1500,188.6426208496094,187.49663848876952
2048,1600,187.9746337890625,186.75665283203125
2048,1700,216.23123779296876,214.92828063964845
2048,1800,217.22838897705077,216.3156005859375
2048,1900,241.52911987304688,240.1717056274414
2048,2000,240.87054138183595,239.45691986083983
