t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,no_delay_ok
15,random_residual,24,Balanced,"{'Balanced': 10, 'Accurate': 5, 'Fast': 9}",8.489137907958781,90.46839159314183,0.09383540216053007,3,0,1
16,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",8.391260798490467,90.37976189712475,0.09284446675176977,2,0,1
16,best_all,16,Balanced,{'Balanced': 16},7.160897913385394,107.2876190353996,0.06674486746716461,1,0,1
16,primary_only,16,Balanced,{'Balanced': 10},6.956538488030557,90.37976189712475,0.07697009089212777,1,0,1
16,random_residual,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",8.155115812339465,90.37976189712475,0.09023165851689308,2,0,1
17,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.460770024128111,90.05748776492561,0.08284452752671424,2,0,1
17,best_all,12,Balanced,{'Balanced': 12},7.040505998878336,95.62898531791073,0.07362313816749964,1,0,1
17,primary_only,12,Balanced,{'Balanced': 10},6.2076420367497835,90.05748776492561,0.0689297713140012,1,0,1
17,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.709318418296308,90.05748776492561,0.08560441346553785,2,0,1
18,proposed,8,Balanced,{'Balanced': 8},5.769457265365177,83.32614537357729,0.06923945946976051,1,0,1
18,best_all,8,Balanced,{'Balanced': 8},5.63944933449999,83.32614537357729,0.06767922972095454,1,0,1
18,primary_only,8,Balanced,{'Balanced': 8},5.518525094340315,83.32614537357729,0.06622801366364701,1,0,1
18,random_residual,8,Balanced,{'Balanced': 8},6.0389355381321055,83.32614537357729,0.07247347769487789,1,0,1
19,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.823142100276452,89.84424936610597,0.08707448896810259,2,0,1
19,best_all,16,Balanced,{'Balanced': 16},7.214525443122039,106.43079898576957,0.0677860686180385,1,0,1
19,primary_only,16,Balanced,{'Balanced': 10},6.7768397482711284,89.84424936610597,0.07542875360509954,1,0,1
19,random_residual,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.982902691124887,89.84424936610597,0.08885268392187673,2,0,1
20,proposed,8,Balanced,{'Balanced': 8},5.533307829112862,87.13093445108763,0.06350566379176244,1,0,1
20,best_all,8,Balanced,{'Balanced': 8},6.205864521268028,87.13093445108763,0.07122458355765474,1,0,1
20,primary_only,8,Balanced,{'Balanced': 8},5.534970438553193,87.13093445108763,0.06352474552720813,1,0,1
20,random_residual,8,Balanced,{'Balanced': 8},5.873636565917184,87.13093445108763,0.06741160992843989,1,0,1
21,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.84558493246418,90.44370672423857,0.08674550409997286,2,0,1
21,best_all,16,Balanced,{'Balanced': 16},8.027555487452217,107.38993075878172,0.07475147279388454,1,0,1
21,primary_only,16,Balanced,{'Balanced': 10},6.290762520881978,90.44370672423857,0.06955445269467354,1,0,1
21,random_residual,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",8.126065749248895,90.44370672423857,0.08984666864688708,2,0,1
22,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.907506486915835,89.9869600867802,0.0878739150571385,2,0,1
22,best_all,16,Balanced,{'Balanced': 16},6.567463389423857,106.65913613884834,0.06157431634243095,1,0,1
22,primary_only,16,Balanced,{'Balanced': 10},6.540182287259098,89.9869600867802,0.07267922242235965,1,0,1
22,random_residual,16,Balanced,"{'Balanced': 10, 'Fast': 6}",6.972396422213108,89.9869600867802,0.07748229760722196,2,0,1
23,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",8.650559400067442,90.37984720440761,0.09571336606160553,2,0,1
23,best_all,16,Balanced,{'Balanced': 16},7.009909631787931,107.28775552705218,0.06533746183198333,1,0,1
23,primary_only,16,Balanced,{'Balanced': 10},6.939527933195109,90.37984720440761,0.07678180642970465,1,0,1
23,random_residual,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.596656811839064,90.37984720440761,0.08405255205464203,2,0,1
24,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 6, 'Fast': 8}",8.19335912103153,93.99963700742035,0.08716373149807743,3,0,1
24,best_all,24,Balanced,{'Balanced': 24},8.169549267129476,138.51912881780882,0.05897776961819263,1,0,1
24,primary_only,24,Balanced,{'Balanced': 10},6.929161624935838,93.99963700742035,0.07371477003032308,1,0,1
24,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",7.994359020764139,93.99963700742035,0.08504670097963318,3,0,1
25,proposed,8,Balanced,{'Balanced': 8},5.629284002561835,87.14990784587874,0.06459311480302432,1,0,1
25,best_all,8,Balanced,{'Balanced': 8},5.8709512588676365,87.14990784587874,0.0673661212499523,1,0,1
25,primary_only,8,Balanced,{'Balanced': 8},6.097012146647388,87.14990784587874,0.0699600527108958,1,0,1
25,random_residual,8,Balanced,{'Balanced': 8},6.051487757324898,87.14990784587874,0.06943768395058686,1,0,1
26,proposed,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",7.047443946576058,83.13222042067171,0.08477391691108536,3,0,1
26,best_all,16,Balanced,{'Balanced': 16},6.548759304857331,112.80995971368773,0.05805125116149422,1,0,1
26,primary_only,16,Fast,{'Fast': 10},5.357794821630322,83.13222042067171,0.06444907635713829,1,0,1
26,random_residual,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",6.867064343084598,83.13222042067171,0.08260412519159695,3,0,1
27,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Fast': 7}",8.929029333990432,93.75618311401931,0.09523669839600456,3,0,1
27,best_all,24,Accurate,{'Accurate': 24},8.471960039023811,156.2813245172897,0.054209676461287874,1,0,1
27,primary_only,24,Balanced,{'Balanced': 10},6.296689362395324,93.75618311401931,0.06716025709726,1,0,1
27,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",8.404337052866502,93.75618311401931,0.08964034982786971,3,0,1
28,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.6211582440847065,94.36368253439989,0.08076367983314392,2,0,1
28,best_all,12,Balanced,{'Balanced': 12},6.394739571653466,100.79641904127985,0.06344213050896763,1,0,1
28,primary_only,12,Balanced,{'Balanced': 10},6.454021383824893,94.36368253439989,0.0683951835121749,1,0,1
28,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.281598201116103,94.36368253439989,0.07716526109991126,2,0,1
29,proposed,8,Balanced,{'Balanced': 8},5.966675620045061,83.40387850045774,0.07153954620962039,1,0,1
29,best_all,8,Balanced,{'Balanced': 8},5.468591715500915,83.40387850045774,0.06556759486276052,1,0,1
29,primary_only,8,Balanced,{'Balanced': 8},5.794143506324908,83.40387850045774,0.069470912030705,1,0,1
29,random_residual,8,Balanced,{'Balanced': 8},6.32968612730485,83.40387850045774,0.07589198777212874,1,0,1
30,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 6, 'Fast': 8}",9.022134953709465,88.77453150527762,0.10162976701457559,3,0,1
30,best_all,24,Balanced,{'Balanced': 24},8.489367548186747,125.97887561266629,0.06738723065197132,1,0,1
30,primary_only,24,Balanced,{'Balanced': 10},6.307566585053147,88.77453150527762,0.07105153334071004,1,0,1
30,random_residual,24,Balanced,"{'Balanced': 10, 'Accurate': 6, 'Fast': 8}",8.571009874680282,88.77453150527762,0.09654807217057224,3,0,1
31,proposed,32,Balanced,"{'Balanced': 10, 'Accurate': 6, 'Fast': 10}",8.934553245871028,91.8888046872018,0.09723222841221076,3,0,1
31,best_all,32,Balanced,{'Balanced': 32},7.802880641087884,157.20417499904573,0.04963532705880903,1,0,1
31,primary_only,32,Balanced,{'Balanced': 10},6.035184929540283,91.8888046872018,0.06567921903092139,1,0,1
31,random_residual,32,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 6}",8.816058574950064,91.8888046872018,0.09594268425800906,3,0,1
32,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.178225058623216,93.82502917577003,0.07650650494523871,2,0,1
32,best_all,12,Balanced,{'Balanced': 12},7.073576057211081,100.15003501092404,0.07062979115723243,1,0,1
32,primary_only,12,Balanced,{'Balanced': 10},6.4335170645751845,93.82502917577003,0.06856930523861342,1,0,1
32,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",7.231981518051972,93.82502917577003,0.07707944864588015,2,0,1
33,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.76791747925749,91.0478806223037,0.08531684017425234,2,0,1
33,best_all,16,Balanced,{'Balanced': 16},8.000100351357203,108.35660899568592,0.07383121736188437,1,0,1
33,primary_only,16,Balanced,{'Balanced': 10},6.444830702612267,91.0478806223037,0.0707850710918525,1,0,1
33,random_residual,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.676747107870419,91.0478806223037,0.08431549482975963,2,0,1
34,proposed,8,Balanced,{'Balanced': 8},5.618520077537358,88.88846268900818,0.06320865394190393,1,0,1
34,best_all,8,Balanced,{'Balanced': 8},5.018761758561647,88.88846268900818,0.05646134050175513,1,0,1
34,primary_only,8,Balanced,{'Balanced': 8},5.971950180004136,88.88846268900818,0.06718476165909233,1,0,1
34,random_residual,8,Balanced,{'Balanced': 8},5.899219072132609,88.88846268900818,0.0663665327723358,1,0,1
35,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.279557243998961,91.69680409889968,0.07938725144823573,2,0,1
35,best_all,12,Balanced,{'Balanced': 12},7.203483129656164,97.5961649186796,0.07380907985122517,1,0,1
35,primary_only,12,Balanced,{'Balanced': 10},6.101494361281936,91.69680409889968,0.06653988021982929,1,0,1
35,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",7.44125406316397,91.69680409889968,0.08115063699644535,2,0,1
36,proposed,24,Balanced,"{'Balanced': 12, 'Accurate': 6, 'Fast': 6}",9.585733565610393,91.67531018560703,0.10456177946060932,3,0,1
36,best_all,24,Balanced,{'Balanced': 24},7.097576096778925,121.15062037121406,0.058584727631038544,1,0,1
36,primary_only,24,Balanced,{'Balanced': 12},6.649137042777283,91.67531018560703,0.07252920147546109,1,0,1
36,random_residual,24,Balanced,"{'Balanced': 12, 'Accurate': 6, 'Fast': 6}",9.651227406688278,91.67531018560703,0.10527619036301351,3,0,1
37,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",5.871119866682761,82.69480760309162,0.07099744272774951,2,0,1
37,best_all,12,Balanced,{'Balanced': 12},6.93731965589871,100.37951454143311,0.06911091060352986,1,0,1
37,primary_only,12,Fast,{'Fast': 10},6.077460486795237,82.69480760309162,0.07349264921160571,1,0,1
37,random_residual,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.433612888608718,82.69480760309162,0.0777994782875363,2,0,1
38,proposed,6,Balanced,{'Balanced': 6},5.276560109749571,77.9351840073095,0.06770446720514171,1,0,1
38,best_all,6,Balanced,{'Balanced': 6},5.019245952919549,77.9351840073095,0.06440282417821451,1,0,1
38,primary_only,6,Balanced,{'Balanced': 6},5.648184766444058,77.9351840073095,0.07247284828267446,1,0,1
38,random_residual,6,Balanced,{'Balanced': 6},5.2620378882908385,77.9351840073095,0.06751813003735661,1,0,1
39,proposed,6,Balanced,{'Balanced': 6},5.617590816753954,80.85127409532105,0.06948054782823825,1,0,1
39,best_all,6,Balanced,{'Balanced': 6},4.995068015068368,80.85127409532105,0.0617809437261229,1,0,1
39,primary_only,6,Balanced,{'Balanced': 6},5.138093770586274,80.85127409532105,0.06354994189118934,1,0,1
39,random_residual,6,Balanced,{'Balanced': 6},4.744686249368835,80.85127409532105,0.05868412467780041,1,0,1
40,proposed,16,Balanced,"{'Balanced': 10, 'Accurate': 6}",7.867575326554258,93.27368989549024,0.08434935227039467,2,0,1
40,best_all,16,Balanced,{'Balanced': 16},7.2461403368893915,111.91790383278439,0.06474513986355382,1,0,1
40,primary_only,16,Balanced,{'Balanced': 10},5.9909900068264506,93.27368989549024,0.06423022412364232,1,0,1
40,random_residual,16,Balanced,"{'Balanced': 10, 'Fast': 6}",7.218730158624077,93.27368989549024,0.07739299438793942,2,0,1
41,proposed,12,Balanced,{'Balanced': 12},7.2203699456221395,95.51833815654905,0.07559145275107665,1,0,1
41,best_all,12,Balanced,{'Balanced': 12},7.221897017225009,95.51833815654905,0.07560743995973565,1,0,1
41,primary_only,12,Balanced,{'Balanced': 12},7.043472239605787,95.51833815654905,0.07373947637219087,1,0,1
41,random_residual,12,Balanced,{'Balanced': 12},6.8216101746069295,95.51833815654905,0.07141675940201873,1,0,1
42,proposed,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 5}",8.331194471799959,80.94782583009064,0.1029205464923434,3,0,1
42,best_all,24,Fast,{'Fast': 24},6.392567261644457,107.47478199221752,0.05947969507960813,1,0,1
42,primary_only,24,Fast,{'Fast': 10},5.5484431452570036,80.94782583009064,0.06854344867647437,1,0,1
42,random_residual,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 5}",7.821635281646838,80.94782583009064,0.09662563758122965,3,0,1
43,proposed,32,Balanced,"{'Balanced': 12, 'Accurate': 8, 'Fast': 10}",9.477914966722462,94.252681643942,0.10055857086939071,3,0,1
43,best_all,32,Balanced,{'Balanced': 32},7.677529042586298,147.67381771717862,0.05198977829157311,1,0,1
43,primary_only,32,Balanced,{'Balanced': 12},7.095599661671991,94.252681643942,0.07528273506823935,1,0,1
43,random_residual,32,Balanced,"{'Balanced': 12, 'Accurate': 8, 'Fast': 10}",9.870467925803085,94.252681643942,0.1047234705012502,3,0,1
44,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.223772113270326,80.16478566024193,0.07763723263289447,2,0,1
44,best_all,12,Fast,{'Fast': 12},5.717069566348886,83.79774279229032,0.06822462486274603,1,0,1
44,primary_only,12,Fast,{'Fast': 10},5.99770819631907,80.16478566024193,0.07481724234552103,1,0,1
44,random_residual,12,Fast,"{'Fast': 10, 'Balanced': 2}",6.0172468060177815,80.16478566024193,0.07506097292544825,2,0,1
45,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Fast': 7}",8.815133357643317,94.4780878521972,0.09330346917513646,3,0,1
45,best_all,24,Balanced,{'Balanced': 24},7.889125058517537,139.66741084527328,0.056485081314046046,1,0,1
45,primary_only,24,Balanced,{'Balanced': 10},6.143095941588991,94.4780878521972,0.06502138306608547,1,0,1
45,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",8.750602194283326,94.4780878521972,0.09262044134480035,3,0,1
46,proposed,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",7.592188873085755,84.19674209194488,0.09017200291188109,3,0,1
46,best_all,24,Fast,{'Fast': 24},6.749898066666802,115.27218102066774,0.05855617553949619,1,0,1
46,primary_only,24,Fast,{'Fast': 10},6.051736642411556,84.19674209194488,0.07187613786532158,1,0,1
46,random_residual,24,Fast,"{'Fast': 10, 'Balanced': 6, 'Accurate': 4}",7.93156920370297,84.19674209194488,0.09420280413037245,3,0,1
47,proposed,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",7.03484323915691,80.20595893270946,0.08770973295212323,3,0,1
47,best_all,16,Fast,{'Fast': 16},6.127648010287789,91.12953429233514,0.06724107675817655,1,0,1
47,primary_only,16,Fast,{'Fast': 10},5.441568568652355,80.20595893270946,0.0678449412121321,1,0,1
47,random_residual,16,Fast,"{'Fast': 10, 'Balanced': 5, 'Accurate': 1}",7.323439627021795,80.20595893270946,0.09130792430480077,3,0,1
48,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",6.948391179406897,91.62035970956653,0.0758389423642634,2,0,1
48,best_all,12,Balanced,{'Balanced': 12},6.226739687297883,97.50443165147985,0.0638610941249805,1,0,1
48,primary_only,12,Balanced,{'Balanced': 10},5.879904504873371,91.62035970956653,0.06417683278599288,1,0,1
48,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.140562653614573,91.62035970956653,0.07793641802160478,2,0,1
49,proposed,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",7.773659860641397,82.74980197535963,0.09394173369691151,3,0,1
49,best_all,24,Balanced,{'Balanced': 24},7.3881203455061595,136.36592432313626,0.05417864017112572,1,0,1
49,primary_only,24,Fast,{'Fast': 10},5.602513577461305,82.74980197535963,0.06770425358999121,1,0,1
49,random_residual,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",8.05779067767138,82.74980197535963,0.09737534695334671,3,0,1
50,proposed,16,Fast,"{'Fast': 10, 'Accurate': 3, 'Balanced': 3}",8.25229908891537,80.4313333616623,0.10260055060642373,3,0,1
50,best_all,16,Balanced,{'Balanced': 16},7.090434104553503,110.46545586958453,0.06418689036077004,1,0,1
50,primary_only,16,Fast,{'Fast': 10},6.014886300252789,80.4313333616623,0.07478287439556226,1,0,1
50,random_residual,16,Fast,"{'Fast': 10, 'Accurate': 3, 'Balanced': 3}",7.909836125629233,80.4313333616623,0.0983427203682224,3,0,1
51,proposed,12,Balanced,{'Balanced': 12},7.057795986523438,91.65136562034887,0.07700699208082976,1,0,1
51,best_all,12,Balanced,{'Balanced': 12},7.349748619993037,91.65136562034887,0.08019246162068328,1,0,1
51,primary_only,12,Balanced,{'Balanced': 12},6.332247036769119,91.65136562034887,0.06909059121933261,1,0,1
51,random_residual,12,Balanced,{'Balanced': 12},6.40312674473699,91.65136562034887,0.06986395348718445,1,0,1
52,proposed,16,Fast,"{'Fast': 10, 'Accurate': 5, 'Balanced': 1}",7.582379897750187,79.99765283996902,0.09478252959394105,3,0,1
52,best_all,16,Fast,{'Fast': 16},6.018060914949769,90.79624454395044,0.06628094526571186,1,0,1
52,primary_only,16,Fast,{'Fast': 10},5.1689513939810645,79.99765283996902,0.06461378816102607,1,0,1
52,random_residual,16,Fast,"{'Fast': 10, 'Balanced': 5, 'Accurate': 1}",7.880638348537094,79.99765283996902,0.09851086961641092,3,0,1
53,proposed,6,Fast,{'Fast': 6},4.641021046191729,73.01237328161038,0.06356485671669931,1,0,1
53,best_all,6,Fast,{'Fast': 6},4.743709409961726,73.01237328161038,0.06497130824203086,1,0,1
53,primary_only,6,Fast,{'Fast': 6},5.051661041118938,73.01237328161038,0.06918910883275313,1,0,1
53,random_residual,6,Fast,{'Fast': 6},4.752665203072642,73.01237328161038,0.06509396954871614,1,0,1
54,proposed,8,Balanced,{'Balanced': 8},6.1625979643005016,91.58912070914286,0.06728526179294701,1,0,1
54,best_all,8,Balanced,{'Balanced': 8},5.46709491374651,91.58912070914286,0.05969153182623314,1,0,1
54,primary_only,8,Balanced,{'Balanced': 8},5.474020875765161,91.58912070914286,0.05976715174664537,1,0,1
54,random_residual,8,Balanced,{'Balanced': 8},6.648779114281756,91.58912070914286,0.07259354673134277,1,0,1
55,proposed,24,Balanced,"{'Balanced': 12, 'Accurate': 7, 'Fast': 5}",9.399751078958353,96.70859299454203,0.09719664807333976,3,0,1
55,best_all,24,Balanced,{'Balanced': 24},8.18396633352689,131.21718598908404,0.06236962233138968,1,0,1
55,primary_only,24,Balanced,{'Balanced': 12},6.4754678256137925,96.70859299454203,0.06695855688831344,1,0,1
55,random_residual,24,Balanced,"{'Balanced': 12, 'Fast': 10, 'Accurate': 2}",8.574545011433008,96.70859299454203,0.08866373448238392,3,0,1
56,proposed,24,Balanced,"{'Balanced': 12, 'Accurate': 9, 'Fast': 3}",8.643969176989957,95.89894302808543,0.09013622991088069,3,0,1
56,best_all,24,Balanced,{'Balanced': 24},7.548090879168962,129.59788605617084,0.05824239197773209,1,0,1
56,primary_only,24,Balanced,{'Balanced': 12},6.94169679011794,95.89894302808543,0.07238554014182369,1,0,1
56,random_residual,24,Balanced,"{'Balanced': 12, 'Accurate': 9, 'Fast': 3}",9.44290789640703,95.89894302808543,0.09846727813925472,3,0,1
57,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 8, 'Fast': 6}",9.293990375215813,97.12240358606805,0.09569357874241295,3,0,1
57,best_all,24,Accurate,{'Accurate': 24},9.03643847896788,157.88581740729657,0.05723401016860599,1,0,1
57,primary_only,24,Balanced,{'Balanced': 10},5.960333481762682,97.12240358606805,0.06136929546312912,1,0,1
57,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",8.339652039895858,97.12240358606805,0.08586743873678349,3,0,1
58,proposed,8,Balanced,{'Balanced': 8},5.522396233491811,83.23954397788796,0.0663434224838954,1,0,1
58,best_all,8,Balanced,{'Balanced': 8},6.08462989353524,83.23954397788796,0.07309782830083238,1,0,1
58,primary_only,8,Balanced,{'Balanced': 8},5.852232411833273,83.23954397788796,0.07030591630088555,1,0,1
58,random_residual,8,Balanced,{'Balanced': 8},5.918650918098258,83.23954397788796,0.07110383641302155,1,0,1
59,proposed,32,Fast,"{'Fast': 10, 'Accurate': 6, 'Balanced': 6}",8.511160434397999,87.01066121150225,0.097817443470627,3,0,1
59,best_all,32,Accurate,{'Accurate': 32},8.964347157772352,192.9216641968344,0.04646625455514521,1,0,1
59,primary_only,32,Fast,{'Fast': 10},5.869035599537864,87.01066121150225,0.06745191356805842,1,0,1
59,random_residual,32,Fast,"{'Fast': 10, 'Accurate': 6, 'Balanced': 6}",8.326800519331753,87.01066121150225,0.09569862363292791,3,0,1
60,proposed,6,Balanced,{'Balanced': 6},5.566899258894501,79.13582740385434,0.07034613071630516,1,0,1
60,best_all,6,Balanced,{'Balanced': 6},5.107171113355165,79.13582740385434,0.06453677532543772,1,0,1
60,primary_only,6,Balanced,{'Balanced': 6},5.437127755361593,79.13582740385434,0.06870627292002984,1,0,1
60,random_residual,6,Balanced,{'Balanced': 6},5.013273962392562,79.13582740385434,0.06335024383846133,1,0,1
61,proposed,8,Balanced,{'Balanced': 8},5.553835408249432,85.07246078845756,0.06528358715354057,1,0,1
61,best_all,8,Balanced,{'Balanced': 8},5.615598819445571,85.07246078845756,0.06600959661210933,1,0,1
61,primary_only,8,Balanced,{'Balanced': 8},6.087958886202493,85.07246078845756,0.07156204052144326,1,0,1
61,random_residual,8,Balanced,{'Balanced': 8},6.032724215664507,85.07246078845756,0.07091277435438911,1,0,1
62,proposed,32,Balanced,"{'Balanced': 12, 'Accurate': 8, 'Fast': 10}",9.980577314732898,95.75645720046572,0.10422876541723555,3,0,1
62,best_all,32,Balanced,{'Balanced': 32},7.883022667831258,151.68388586790857,0.0519700733055854,1,0,1
62,primary_only,32,Balanced,{'Balanced': 12},6.856757150321121,95.75645720046572,0.07160621174576802,1,0,1
62,random_residual,32,Balanced,"{'Balanced': 12, 'Accurate': 8, 'Fast': 10}",9.330649062214436,95.75645720046572,0.09744146071194722,3,0,1
63,proposed,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",7.795495258740985,96.94883659122056,0.08040834251173393,2,0,1
63,best_all,16,Balanced,{'Balanced': 16},7.51815411216261,108.5317821216274,0.06927145178301139,1,0,1
63,primary_only,16,Balanced,{'Balanced': 12},7.091104933085827,96.94883659122056,0.07314275428580005,1,0,1
63,random_residual,16,Balanced,"{'Balanced': 12, 'Fast': 4}",7.20921836628199,96.94883659122056,0.07436106115104056,2,0,1
64,proposed,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",8.187263100798447,95.28873894443495,0.085920573527294,2,0,1
64,best_all,16,Balanced,{'Balanced': 16},7.437740204569968,106.31831859257994,0.06995727832258114,1,0,1
64,primary_only,16,Balanced,{'Balanced': 12},6.555657985722147,95.28873894443495,0.06879782499320199,1,0,1
64,random_residual,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",8.07735161759993,95.28873894443495,0.08476711631486716,2,0,1
65,proposed,32,Balanced,"{'Balanced': 12, 'Accurate': 7, 'Fast': 10}",9.653643677929429,96.6193746341735,0.09991416022387514,3,0,1
65,best_all,32,Balanced,{'Balanced': 32},8.457476944779708,153.98499902446264,0.05492403155086634,1,0,1
65,primary_only,32,Balanced,{'Balanced': 12},6.589302781066501,96.6193746341735,0.06819856582611246,1,0,1
65,random_residual,32,Balanced,"{'Balanced': 12, 'Accurate': 7, 'Fast': 10}",9.934482534112064,96.6193746341735,0.10282081178569663,3,0,1
66,proposed,12,Balanced,{'Balanced': 12},6.412710985761417,95.06859970376924,0.06745351257663648,1,0,1
66,best_all,12,Balanced,{'Balanced': 12},7.151968761836239,95.06859970376924,0.07522955827814387,1,0,1
66,primary_only,12,Balanced,{'Balanced': 12},6.507928441368776,95.06859970376924,0.06845507835023631,1,0,1
66,random_residual,12,Balanced,{'Balanced': 12},6.593146925504708,95.06859970376924,0.06935146774064987,1,0,1
67,proposed,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 5}",8.048438341735629,81.24052658201404,0.09906925373767192,3,0,1
67,best_all,24,Fast,{'Fast': 24},6.245627872293125,108.17726379683367,0.05773512522948406,1,0,1
67,primary_only,24,Fast,{'Fast': 10},5.726994881762224,81.24052658201404,0.07049431020096479,1,0,1
67,random_residual,24,Fast,"{'Fast': 10, 'Balanced': 5, 'Accurate': 4}",7.853711865283191,81.24052658201404,0.09667234071106989,3,0,1
68,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.474709174661145,97.36664948684626,0.07676868018007481,2,0,1
68,best_all,12,Balanced,{'Balanced': 12},6.873979556472781,104.39997938421551,0.06584272906007944,1,0,1
68,primary_only,12,Balanced,{'Balanced': 10},5.793918417370562,97.36664948684626,0.059506190753264965,1,0,1
68,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",6.921118134780652,97.36664948684626,0.07108304713428247,2,0,1
69,proposed,16,Balanced,"{'Balanced': 12, 'Accurate': 4}",7.236355998238453,90.16456176875482,0.0802572081124017,2,0,1
69,best_all,16,Balanced,{'Balanced': 16},7.286717991337419,99.48608235833977,0.07324359165226073,1,0,1
69,primary_only,16,Balanced,{'Balanced': 12},6.920382066810179,90.16456176875482,0.07675279434683986,1,0,1
69,random_residual,16,Balanced,"{'Balanced': 12, 'Fast': 4}",8.021567336436528,90.16456176875482,0.08896585508849311,2,0,1
70,proposed,8,Fast,{'Fast': 8},5.205722864344344,80.80013087742645,0.06442715881539114,1,0,1
70,best_all,8,Fast,{'Fast': 8},4.810049272149028,80.80013087742645,0.05953021634885539,1,0,1
70,primary_only,8,Fast,{'Fast': 8},4.668502901070264,80.80013087742645,0.05777840766313075,1,0,1
70,random_residual,8,Fast,{'Fast': 8},5.569728266816957,80.80013087742645,0.06893216887564474,1,0,1
71,proposed,16,Fast,"{'Fast': 10, 'Accurate': 5, 'Balanced': 1}",7.280363310942497,83.35180765373119,0.08734499605800207,3,0,1
71,best_all,16,Accurate,{'Accurate': 16},7.849399537142359,122.44665467232058,0.06410464669817344,1,0,1
71,primary_only,16,Fast,{'Fast': 10},5.222677129187697,83.35180765373119,0.06265823473060464,1,0,1
71,random_residual,16,Fast,"{'Fast': 10, 'Balanced': 6}",6.995427443604917,83.35180765373119,0.08392652349743937,2,0,1
72,proposed,6,Fast,{'Fast': 6},4.693590818669636,74.36058553975126,0.06311933646838436,1,0,1
72,best_all,6,Fast,{'Fast': 6},5.188944192184868,74.36058553975126,0.06978084094578561,1,0,1
72,primary_only,6,Fast,{'Fast': 6},4.729739440280208,74.36058553975126,0.06360546257064922,1,0,1
72,random_residual,6,Fast,{'Fast': 6},4.951720393729313,74.36058553975126,0.06659065898670541,1,0,1
73,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.007556297688133,79.31245651858217,0.07574543219803838,2,0,1
73,best_all,12,Balanced,{'Balanced': 12},6.225030838219647,96.63984345577981,0.06441474463964833,1,0,1
73,primary_only,12,Fast,{'Fast': 10},6.1509733849353125,79.31245651858217,0.07755368645647985,1,0,1
