model_key,model_label,backend,tensor_parallel_size,dataset,dataset_purpose,batches,prompts,prompt_tokens,output_tokens,wall_s,output_tokens_per_s,total_tokens_per_s,mean_batch_output_tokens_per_s,std_batch_output_tokens_per_s
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,gsm8k,math reasoning,1,1,101,1,35.46790963038802,0.028194500618193324,2.875839063055719,0.028194500618193324,0.0
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,mbpp,code generation,1,1,57,1,0.035635072737932205,28.06224102176554,1627.6099792624013,28.06224102176554,0.0
qwen2.5-32b,Qwen2.5-32B-Instruct,vllm,2,wikitext,text continuation,1,1,242,1,0.050866298377513885,19.659382182251797,4777.229870287187,19.659382182251797,0.0
