prompt_id,method,budget,round,generated_tokens,decode_time_s,total_round_time_s,round_tps,input_len
0,ad,0,1,1,0.4594368562102318,0.4594368562102318,2.176577665642075,13
0,ad,0,2,1,0.03416461870074272,0.03416461870074272,29.270047143194386,14
0,ad,0,3,1,0.014536004513502121,0.014536004513502121,68.7946952046641,15
0,ad,0,4,1,0.014456566423177719,0.014456566423177719,69.17271852303284,16
0,ad,0,5,1,0.021324824541807175,0.021324824541807175,46.89370353502824,17
0,ad,0,6,1,0.014346640557050705,0.014346640557050705,69.7027290830498,18
0,ad,0,7,1,0.014340899884700775,0.014340899884700775,69.73063113471872,19
0,ad,0,8,1,0.014333009719848633,0.014333009719848633,69.76901708335413,20
0,ad,0,9,1,0.01436861976981163,0.01436861976981163,69.59610707362394,21
0,ad,0,10,1,0.014369204640388489,0.014369204640388489,69.59327429920741,22
0,ad,0,11,1,0.014345172792673111,0.014345172792673111,69.70986090252997,23
0,ad,0,12,1,0.014565587043762207,0.014565587043762207,68.6549740148136,24
0,ad,0,13,1,0.014346174895763397,0.014346174895763397,69.7049915580851,25
0,ad,0,14,1,0.014385350048542023,0.014385350048542023,69.51516623687246,26
0,ad,0,15,1,0.015013225376605988,0.015013225376605988,66.60793899478968,27
0,ad,0,16,1,0.014344513416290283,0.014344513416290283,69.71306526607967,28
1,ad,0,1,1,0.015064138919115067,0.015064138919115067,66.38281851816222,8
1,ad,0,2,1,0.014355417340993881,0.014355417340993881,69.6601134085013,9
1,ad,0,3,1,0.014326151460409164,0.014326151460409164,69.80241712252841,10
1,ad,0,4,1,0.014340732246637344,0.014340732246637344,69.73144626101522,11
1,ad,0,5,1,0.014358673244714737,0.014358673244714737,69.64431761605053,12
1,ad,0,6,1,0.01433970034122467,0.01433970034122467,69.73646423594622,13
1,ad,0,7,1,0.014358963817358017,0.014358963817358017,69.64290827107853,14
1,ad,0,8,1,0.014326237142086029,0.014326237142086029,69.80199965155616,15
1,ad,0,9,1,0.014355100691318512,0.014355100691318512,69.66164999488765,16
1,ad,0,10,1,0.014326967298984528,0.014326967298984528,69.79844227541989,17
1,ad,0,11,1,0.014316808432340622,0.014316808432340622,69.84796958944239,18
1,ad,0,12,1,0.014337640255689621,0.014337640255689621,69.74648423077633,19
1,ad,0,13,1,0.014287978410720825,0.014287978410720825,69.98890754549721,20
1,ad,0,14,1,0.014354348182678223,0.014354348182678223,69.66530191922799,21
1,ad,0,15,1,0.014333222061395645,0.014333222061395645,69.76798348037515,22
1,ad,0,16,1,0.014324817806482315,0.014324817806482315,69.80891579280517,23
2,ad,0,1,1,0.014973416924476624,0.014973416924476624,66.78502342142949,9
2,ad,0,2,1,0.014362979680299759,0.014362979680299759,69.62343624085179,10
2,ad,0,3,1,0.014320123940706253,0.014320123940706253,69.83179783503194,11
2,ad,0,4,1,0.014311112463474274,0.014311112463474274,69.87576979443514,12
2,ad,0,5,1,0.014336999505758286,0.014336999505758286,69.74960134429536,13
2,ad,0,6,1,0.014318685978651047,0.014318685978651047,69.83881073242235,14
2,ad,0,7,1,0.014323446899652481,0.014323446899652481,69.81559725154301,15
2,ad,0,8,1,0.014323916286230087,0.014323916286230087,69.81330943418897,16
2,ad,0,9,1,0.014371801167726517,0.014371801167726517,69.58070100813889,17
2,ad,0,10,1,0.014320675283670425,0.014320675283670425,69.82910932561117,18
2,ad,0,11,1,0.014313507825136185,0.014313507825136185,69.86407610326546,19
2,ad,0,12,1,0.014334611594676971,0.014334611594676971,69.76122048338868,20
2,ad,0,13,1,0.014309823513031006,0.014309823513031006,69.88206382065903,21
2,ad,0,14,1,0.014416508376598358,0.014416508376598358,69.36492345284196,22
2,ad,0,15,1,0.014330495148897171,0.014330495148897171,69.78125944775584,23
2,ad,0,16,1,0.014338083565235138,0.014338083565235138,69.74432778622186,24
3,ad,0,1,1,0.015155628323554993,0.015155628323554993,65.9820878851847,10
3,ad,0,2,1,0.014346860349178314,0.014346860349178314,69.7016612458539,11
3,ad,0,3,1,0.014370974153280258,0.014370974153280258,69.58470520745765,12
3,ad,0,4,1,0.01433112844824791,0.01433112844824791,69.77817578086515,13
3,ad,0,5,1,0.01433633267879486,0.01433633267879486,69.75284561295922,14
3,ad,0,6,1,0.01432417705655098,0.01432417705655098,69.81203848933596,15
3,ad,0,7,1,0.014324501156806946,0.014324501156806946,69.81045895094252,16
3,ad,0,8,1,0.014340631663799286,0.014340631663799286,69.73193534594057,17
3,ad,0,9,1,0.014368776232004166,0.014368776232004166,69.5953492387653,18
3,ad,0,10,1,0.014322668313980103,0.014322668313980103,69.8193924538431,19
3,ad,0,11,1,0.014343757182359695,0.014343757182359695,69.7167406897981,20
3,ad,0,12,1,0.014368858188390732,0.014368858188390732,69.59495228423553,21
3,ad,0,13,1,0.014364674687385559,0.014364674687385559,69.61522079425558,22
3,ad,0,14,1,0.01436283066868782,0.01436283066868782,69.62415857064194,23
3,ad,0,15,1,0.014327634125947952,0.014327634125947952,69.79519376398352,24
3,ad,0,16,1,0.014338988810777664,0.014338988810777664,69.73992470433944,25
