prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
0,chain,4,1,4,1,0.4616512171924114,1.28e-08,0.03714665398001671,0.49879788397242814,2.004820052635341,13,4.0,
0,chain,4,2,4,2,0.007808033376932144,1.28e-08,0.029299907386302948,0.03710795356323509,53.89680130411479,14,4.0,
0,chain,4,3,4,1,0.007144968956708908,1.28e-08,0.02923036739230156,0.036375349149010465,27.49114505825172,16,4.0,
0,chain,4,4,4,2,0.0069283656775951385,1.28e-08,0.03028218075633049,0.037210559233925626,53.74818441794767,17,4.0,
0,chain,4,5,4,2,0.007069934159517288,1.28e-08,0.031086452305316925,0.03815639926483421,52.41584736857612,19,4.0,
0,chain,4,6,4,4,0.007127881050109863,1.28e-08,0.030120432376861572,0.03724832622697143,107.38737562665591,21,4.0,
0,chain,4,7,4,3,0.0072757527232170105,1.28e-08,0.030352208763360977,0.037627974286577985,79.72791671302139,25,4.0,
0,chain,4,8,4,1,0.007167190313339233,1.28e-08,0.03021761029958725,0.03738481341292648,26.748829503432315,28,4.0,
0,chain,4,9,4,3,0.007080364972352982,1.28e-08,0.03030075505375862,0.0373811328261116,80.25438966644771,29,4.0,
0,chain,4,10,4,5,0.029239222407341003,1.28e-08,0.03046748787164688,0.05970672307898789,83.74266317354821,32,4.0,
0,bfs,4,1,4,1,0.025774579495191574,1.28e-08,0.02911924570798874,0.05489383800318032,18.216980928570965,13,4.0,16.0
0,bfs,4,2,4,2,0.0070714689791202545,1.28e-08,0.02910630777478218,0.03617778955390243,55.28253728769517,14,4.0,16.0
0,bfs,4,3,4,2,0.007046367973089218,1.28e-08,0.029145877808332443,0.03619225858142166,55.26043630299014,16,4.0,16.0
0,bfs,4,4,4,1,0.0071868374943733215,1.28e-08,0.030182041227817535,0.037368891522190854,26.760226468215354,18,4.0,16.0
0,bfs,4,5,4,2,0.0070543959736824036,1.28e-08,0.0301070399582386,0.037161448731921,53.81921502651313,19,4.0,16.0
