context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,chat,0,500,0.19656967178569176,0.0002565524773672223,0.5832948684692383,0.03957956810437622,0.974,0.9728358931541443,0.974,0.9728358931541443,0.970515711858774,0.9673169568777085,0.996,0.9972003937959671,0.022,0.024364500641822814,0.9905258036470415,0.985143077883924,0.998,0.9995883309841156,0.002,0.0023879371881484986,0.9931543933104132,0.9890095619446486,0.998,0.9996131319999695,0.0,2.4801015853881835e-05,0.9934494982297623,0.9907950815749883,0.998,0.9996141554117203,0.0,1.0234117507934571e-06,0.9936305680474316,0.9918663233099628,-0.0011641068458556614,0.0012003937959671473,0.0015883309841155935,0.001613131999969486,0.001614155411720275
64,chat,1,500,1.1740608986616135,0.5944174528121948,1.7006301879882812,0.20529537656437777,0.758,0.7764103636741638,0.758,0.7764103636741638,0.7450320073381834,0.7377302246689796,0.904,0.9165158629417419,0.146,0.14010549926757812,0.886925062321369,0.8623501953668893,0.93,0.9495515705347061,0.026,0.033035707592964175,0.915464909528405,0.8970649595744908,0.942,0.9597325057983398,0.012,0.010180935263633728,0.9283458994864939,0.9150459248686565,0.948,0.9645228003263473,0.006,0.004790294528007507,0.9369023254395544,0.9256444152272761,0.01841036367416382,0.012515862941741895,0.01955157053470602,0.017732505798339848,0.016522800326347342
64,chat,2,500,2.0755213506221772,1.7006301879882812,2.401988983154297,0.46452255925367447,0.602,0.6662609688043595,0.602,0.6662609688043595,0.5743580133903292,0.5196934021711349,0.796,0.8526532963514328,0.194,0.18639232754707336,0.7604769883958907,0.6774447676930576,0.848,0.9004987095594406,0.052,0.047845413208007816,0.8172358287158242,0.7531332161249593,0.876,0.9328203262090683,0.028,0.03232161664962768,0.8554216807366608,0.7943635137332603,0.898,0.9437523596286773,0.022,0.01093203341960907,0.8781739602670984,0.821460456693545,0.0642609688043595,0.05665329635143279,0.05249870955944058,0.056820326209068295,0.0457523596286773
64,chat,3,500,2.6986836805343626,2.401988983154297,2.997751235961914,0.5860249664508629,0.494,0.5793351110219955,0.494,0.5793351110219955,0.4564040427293141,0.4228158948421478,0.696,0.8003451778888703,0.202,0.2210100668668747,0.6491641086262393,0.573987042400986,0.744,0.8475305901765824,0.048,0.0471854122877121,0.6971190184354076,0.65159965156205,0.802,0.889207759141922,0.058,0.04167716896533966,0.7581800337393075,0.6990297896787524,0.838,0.9101466187238694,0.036,0.020938859581947328,0.7971832707670876,0.7310463369786739,0.08533511102199554,0.10434517788887032,0.1035305901765824,0.08720775914192191,0.0721466187238694
64,chat,4,500,3.278541970729828,2.9978346824645996,3.556119918823242,0.7382274620962634,0.412,0.4946030346155167,0.412,0.4946030346155167,0.37203564116315413,0.34347968888282776,0.578,0.6956833350658417,0.166,0.20108030045032502,0.5253222827253476,0.471328645221889,0.664,0.758256474852562,0.086,0.06257313978672027,0.601542273398877,0.5438850571066142,0.706,0.8200986949205399,0.042,0.061842220067977904,0.654987679673665,0.5926941203437746,0.728,0.8567759376764298,0.022,0.03667724275588989,0.6875367890426796,0.6287598036397248,0.08260303461551671,0.11768333506584172,0.09425647485256194,0.11409869492053992,0.1287759376764298
64,chat,5,500,3.8252593579292298,3.556852102279663,4.089844226837158,0.9120959065120369,0.376,0.5033336174488068,0.376,0.5033336174488068,0.3286498833400233,0.2690025151371956,0.514,0.6607085703611374,0.138,0.15737495291233064,0.452751380400778,0.3860739919655025,0.604,0.7574235509634017,0.09,0.09671498060226441,0.5365077793828928,0.4544781849570572,0.632,0.8081291790008545,0.028,0.050705628037452696,0.5721434140079448,0.5039030616823584,0.658,0.8403791419267654,0.026,0.03224996292591095,0.6057962405390142,0.5410469840224832,0.12733361744880678,0.14670857036113738,0.15342355096340177,0.17612917900085445,0.1823791419267654
64,chat,6,500,4.399144298553467,4.089844226837158,4.693447589874268,0.9533987972906325,0.29,0.4326632966995239,0.29,0.4326632966995239,0.25119777460947434,0.21049933180212974,0.416,0.6060838875770569,0.126,0.17342059087753295,0.37171061353520374,0.30851492603868247,0.528,0.7092440803050994,0.112,0.1031601927280426,0.46694276468120016,0.3708684551212937,0.558,0.7498343058824539,0.03,0.04059022557735443,0.5042364769088561,0.4164129161685705,0.574,0.777290699839592,0.016,0.027456393957138062,0.5293400949813953,0.4510749439634383,0.14266329669952393,0.1900838875770569,0.18124408030509942,0.19183430588245387,0.20329069983959203
64,chat,7,500,4.980866026878357,4.695541858673096,5.235750198364258,0.877049149594805,0.174,0.27023337602615355,0.174,0.27023337602615355,0.15799312563487417,0.16026165537536144,0.306,0.4590580651760101,0.132,0.18882468914985656,0.28487118392140703,0.2374397580474615,0.384,0.5525237263441086,0.078,0.09346566116809844,0.3557595038157576,0.28777242706902323,0.414,0.6014582951068879,0.03,0.04893456876277923,0.3857219018592864,0.32461638389341535,0.432,0.6405835436582565,0.018,0.039125248551368716,0.40887799358532084,0.3539832982979715,0.09623337602615356,0.15305806517601012,0.16852372634410862,0.18745829510688788,0.20858354365825654
64,chat,8,500,5.5363159151077275,5.236809253692627,5.843456745147705,1.1606814277812227,0.15,0.25377679979801177,0.15,0.25377679979801177,0.1216101808998747,0.11049190063774586,0.228,0.36521128511428835,0.078,0.11143448531627655,0.18312748130444947,0.16540083245560527,0.27,0.46176914596557617,0.042,0.09655786085128784,0.2168426705299325,0.20416791421175004,0.288,0.5069229155778885,0.018,0.045153769612312315,0.23778515174378023,0.2347664818186313,0.332,0.5720944600105285,0.044,0.06517154443264007,0.2859238978082513,0.2596910504195839,0.10377679979801177,0.13721128511428834,0.19176914596557615,0.2189229155778885,0.24009446001052853
64,chat,9,500,6.329503890991211,5.847638130187988,7.792097091674805,1.2521602941195016,0.068,0.18333051693439484,0.068,0.18333051693439484,0.06937354790617077,0.06381967610679568,0.108,0.27430413258075714,0.04,0.0909736156463623,0.10634957220121899,0.10075590373761951,0.158,0.36747060251235963,0.05,0.09316646993160248,0.1481086453645857,0.12784249203838408,0.196,0.4216135722398758,0.038,0.05414296972751617,0.17772790265756788,0.14959898833930493,0.22,0.45881550705432894,0.024,0.03720193481445312,0.1970592991688136,0.16782602731883525,0.11533051693439483,0.16630413258075716,0.20947060251235963,0.22561357223987577,0.23881550705432894
