context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,target_mass_on_draft_top1_mean,draft_top1_mass_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,target_mass_on_draft_top2_mean,draft_top2_mass_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,target_mass_on_draft_top3_mean,draft_top3_mass_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,target_mass_on_draft_top4_mean,draft_top4_mass_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,target_mass_on_draft_top5_mean,draft_top5_mass_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,0,2500,0.5644826404830208,0.0002565524773672223,1.266968011856079,0.19314721491866313,0.8708,0.8678903326511384,0.8708,0.8678903326511384,0.8535310120966262,0.8929199663162232,0.924,0.9393940974712371,0.0532,0.07150376482009888,0.9078446537909982,0.9434385857584883,0.9348,0.956806385588646,0.0108,0.01741228811740875,0.9205958064071968,0.9557343977662922,0.9424,0.9654802248716354,0.0076,0.008673839282989503,0.9296697936950814,0.9622113107920377,0.9468,0.9713804118156433,0.0044,0.005900186944007874,0.9352775426848541,0.966255766603857,-0.0029096673488616664,0.0153940974712371,0.022006385588645982,0.023080224871635413,0.0245804118156433
64,1,2500,1.8372835458278656,1.2671780586242676,2.23563814163208,0.6452495331726077,0.5436,0.5714965537786484,0.5436,0.5714965537786484,0.50240238927516,0.5870151507258415,0.6672,0.8033750310659409,0.1236,0.23187847728729247,0.6376011961141953,0.7151343839585781,0.7784,0.8849297563552856,0.1112,0.08155472528934479,0.7428830289695407,0.7741612861748784,0.82,0.9170766257762909,0.0416,0.032146869421005246,0.7871175776714464,0.8110200163266622,0.8468,0.9324134913682938,0.0268,0.015336865592002868,0.815043208377754,0.8382920482469257,0.027896553778648414,0.13617503106594087,0.10652975635528561,0.09707662577629095,0.08561349136829377
64,2,2500,2.532690439987183,2.2358338832855225,2.8026397228240967,0.8829728647917902,0.4008,0.46514850981235506,0.4008,0.46514850981235506,0.3510459601169934,0.40741935126781464,0.5316,0.6874402447223663,0.1308,0.22229173491001128,0.48137619133777126,0.5408119525132701,0.6196,0.7843327737092972,0.088,0.09689252898693085,0.5712182197555885,0.6184419930058531,0.6752,0.8337625017881394,0.0556,0.04942972807884216,0.6288590066447303,0.674082291976735,0.7228,0.8703293418884277,0.0476,0.03656684010028839,0.6789525628116089,0.718441287381947,0.06434850981235507,0.15584024472236635,0.16473277370929718,0.15856250178813935,0.1475293418884277
64,3,2500,3.017917029762268,2.80292010307312,3.2101352214813232,1.0903866182904167,0.328,0.43550011258125304,0.328,0.43550011258125304,0.2861100307965018,0.30401466108262537,0.4636,0.6687597363710404,0.1356,0.2332596237897873,0.4206845246484437,0.4262014535464346,0.5328,0.7629730917215347,0.0692,0.09421335535049438,0.4883889617005322,0.5061513614894823,0.59,0.8175602607250214,0.0572,0.05458716900348663,0.5509192198938428,0.567032962720655,0.6312,0.8498312166213989,0.0412,0.032270955896377566,0.595603986122009,0.617378395901993,0.10750011258125303,0.20515973637104035,0.23017309172153466,0.22756026072502145,0.21863121662139895
64,4,2500,3.3870912578582764,3.2105236053466797,3.5548839569091797,1.0719488104164652,0.2828,0.4177953623533249,0.2828,0.4177953623533249,0.25881286733726,0.24471065865755082,0.4104,0.6272553336858749,0.1276,0.20945997133255004,0.3802189002176645,0.3566369680467993,0.4972,0.7335432656526566,0.0868,0.10628793196678162,0.4604491167842919,0.4326296897055581,0.5492,0.7915569400310516,0.052,0.05801367437839508,0.5172851872058206,0.49137005992922933,0.59,0.8184730009317398,0.0408,0.026916060900688172,0.5595107870089235,0.5405479834962637,0.13499536235332488,0.21685533368587495,0.23634326565265662,0.24235694003105157,0.22847300093173983
64,5,2500,3.761020616722107,3.5549228191375732,3.9991962909698486,0.9955185794894975,0.284,0.40562649030685427,0.284,0.40562649030685427,0.2587359556899801,0.2393552509829402,0.406,0.5952922814369201,0.122,0.18966579113006593,0.3716083795016682,0.34554991635270416,0.4868,0.6975048951864242,0.0808,0.10221261374950409,0.45234498610127694,0.41414292706251143,0.5404,0.7555300817966462,0.0536,0.058025186610221866,0.507399032449605,0.4666238785585389,0.5872,0.797968480014801,0.0468,0.042438398218154906,0.5561404266754417,0.5089429918622598,0.1216264903068543,0.18929228143692012,0.2107048951864242,0.21513008179664617,0.21076848001480097
64,6,2500,4.311001650238037,3.999533176422119,4.640768051147461,1.0180475879036597,0.2952,0.41230851213932035,0.2952,0.41230851213932035,0.26139632077871366,0.23249028542041777,0.4052,0.5730799260139465,0.11,0.16077141387462615,0.36455336293937884,0.3310946408076212,0.4832,0.6633795900344849,0.078,0.09029966402053834,0.4347388010862921,0.39217367695849387,0.5356,0.7212402092933655,0.0524,0.05786061925888061,0.485218983039432,0.4362705043107271,0.57,0.7579567134141922,0.0344,0.03671650412082672,0.5187628822997283,0.47052473212685436,0.11710851213932033,0.16787992601394652,0.18017959003448486,0.18564020929336555,0.1879567134141923
64,7,2500,4.967681985282898,4.640768051147461,5.30225944519043,1.1256622150083713,0.222,0.33821561019420626,0.222,0.33821561019420626,0.1927882387164216,0.1771561407059431,0.3332,0.501845875120163,0.1112,0.16363026492595673,0.292685548202512,0.25656369866356254,0.4052,0.5965231072902679,0.072,0.09467723217010499,0.3585529864522366,0.30727615191973745,0.4464,0.65572994120121,0.0412,0.05920683391094208,0.39948066861914283,0.3446042056996375,0.4752,0.6877411947250366,0.0288,0.0320112535238266,0.42829225674085203,0.3739764715792611,0.11621561019420626,0.168645875120163,0.1913231072902679,0.20932994120120996,0.21254119472503658
64,8,2500,5.642159586715699,5.30225944519043,5.995967864990234,1.2482327579862305,0.1668,0.2786594426393509,0.1668,0.2786594426393509,0.14157475582702087,0.11894954506531358,0.2356,0.3960471484661102,0.0688,0.11738770582675934,0.20182656661396176,0.17758933164812624,0.2844,0.4804234043598175,0.0488,0.08437625589370727,0.24551431582922428,0.21711203514412045,0.3196,0.5385500460863113,0.0352,0.05812664172649384,0.27745769808925963,0.24734993940498678,0.3528,0.5870693240165711,0.0332,0.0485192779302597,0.3102777846325835,0.27210057560857387,0.11185944263935088,0.16044714846611022,0.19602340435981752,0.2189500460863113,0.23426932401657108
64,9,2500,6.525109539604187,5.996365070343018,7.961248874664307,1.3923723044704812,0.0864,0.19130315215587615,0.0864,0.19130315215587615,0.07717420970406563,0.0673427946921438,0.1296,0.2856974341154099,0.0432,0.09439428195953369,0.11378376917234985,0.10448036918826402,0.1668,0.36359837145805357,0.0372,0.07790093734264374,0.14728626790018262,0.1311980194212869,0.1916,0.4171414293050766,0.0248,0.05354305784702301,0.16959619239631352,0.1525766292821616,0.2112,0.45702605957984926,0.0196,0.039884630274772646,0.18630702454910264,0.17046924492754043,0.10490315215587614,0.15609743411540988,0.19679837145805357,0.2255414293050766,0.24582605957984927
