context_len,source_type,n,entropy_greedy_accept_top1_pearson,entropy_greedy_accept_top1_spearman,entropy_seq_accept_top1_expected_pearson,entropy_seq_accept_top1_expected_spearman,entropy_greedy_gain_top1_vs_top0_pearson,entropy_greedy_gain_top1_vs_top0_spearman,entropy_seq_gain_top1_vs_top0_pearson,entropy_seq_gain_top1_vs_top0_spearman,entropy_greedy_accept_top2_pearson,entropy_greedy_accept_top2_spearman,entropy_seq_accept_top2_expected_pearson,entropy_seq_accept_top2_expected_spearman,entropy_greedy_gain_top2_vs_top1_pearson,entropy_greedy_gain_top2_vs_top1_spearman,entropy_seq_gain_top2_vs_top1_pearson,entropy_seq_gain_top2_vs_top1_spearman,entropy_greedy_accept_top3_pearson,entropy_greedy_accept_top3_spearman,entropy_seq_accept_top3_expected_pearson,entropy_seq_accept_top3_expected_spearman,entropy_greedy_gain_top3_vs_top2_pearson,entropy_greedy_gain_top3_vs_top2_spearman,entropy_seq_gain_top3_vs_top2_pearson,entropy_seq_gain_top3_vs_top2_spearman,entropy_greedy_accept_top4_pearson,entropy_greedy_accept_top4_spearman,entropy_seq_accept_top4_expected_pearson,entropy_seq_accept_top4_expected_spearman,entropy_greedy_gain_top4_vs_top3_pearson,entropy_greedy_gain_top4_vs_top3_spearman,entropy_seq_gain_top4_vs_top3_pearson,entropy_seq_gain_top4_vs_top3_spearman,entropy_greedy_accept_top5_pearson,entropy_greedy_accept_top5_spearman,entropy_seq_accept_top5_expected_pearson,entropy_seq_accept_top5_expected_spearman,entropy_greedy_gain_top5_vs_top4_pearson,entropy_greedy_gain_top5_vs_top4_spearman,entropy_seq_gain_top5_vs_top4_pearson,entropy_seq_gain_top5_vs_top4_spearman
64,ALL,25000,-0.41752139016468315,-0.39556571927695505,-0.3692319684436955,-0.3455983794296752,-0.41752139016468315,-0.39556571927695505,-0.3692319684436955,-0.3455983794296752,-0.4180872199701373,-0.4015092455677752,-0.4021230715777647,-0.36971803447207496,-0.030110759769491444,-0.037394211366743924,-0.040857133935722656,0.1311675393064581,-0.42037615071117007,-0.4082106687757294,-0.3920683053160252,-0.3617262568359872,-0.007989098716149909,-0.016592949769721792,0.04886957820164264,0.2307242547581469,-0.4196064354574191,-0.4096456767177889,-0.3807424921206033,-0.35900727183310716,0.008979238734567152,0.0033273382840030242,0.0647283102736234,0.271607526033038,-0.4196146120950758,-0.41125923371583467,-0.37258985363124136,-0.3610806731255302,0.011978654504961979,0.0072374642194822855,0.0643880683312195,0.3015287645752546
64,chat,5000,-0.5453121558853287,-0.5377775464192558,-0.49942826776295474,-0.49369034618207974,-0.5453121558853287,-0.5377775464192558,-0.49942826776295474,-0.49369034618207974,-0.5611443642653194,-0.5632027332833952,-0.5061289217344203,-0.5067411346782124,-0.02715901360499257,-0.041560744899490513,0.02802844071212349,0.3205494045121115,-0.539570221062378,-0.5433940225996271,-0.46871504008047554,-0.47537022777095916,0.06849962303689022,0.06492540772673719,0.13459219562283034,0.42337169195491586,-0.5343504422476412,-0.5407309527924176,-0.4547314508087436,-0.4664206935514417,0.03930906059914431,0.0320983581309042,0.08854103190914361,0.4094724637772037,-0.5257710834438677,-0.5332419326322579,-0.4333931504511871,-0.44667422984679395,0.053235148205373936,0.04997363775806424,0.11258491613280888,0.4170603620038588
64,code,5000,-0.4428149898646225,-0.4264161324637065,-0.3967410316342901,-0.37306255805661387,-0.4428149898646225,-0.4264161324637065,-0.3967410316342901,-0.37306255805661387,-0.439701071570219,-0.4332787129318615,-0.39432843153479374,-0.37882659603996754,-0.02766085088387646,-0.044212960611276615,-0.004822037897666698,0.20581608073486973,-0.427060571807956,-0.4263531117876762,-0.3824679163580611,-0.37123164811440723,0.020030640252209315,0.006315766081577465,0.03864402028846423,0.26273578395285985,-0.4237987586389482,-0.4269536114669944,-0.3762745640210906,-0.3705252674004857,0.00626931290347974,-0.004322183911290111,0.03577242515522188,0.2752323583887742,-0.41685041030677006,-0.42175960144390945,-0.3688743522082385,-0.3686485731562412,0.025311110803849245,0.019293852148768033,0.04999869616319222,0.2998884227948696
64,json_config,5000,-0.09611037627430088,-0.09174634069889666,0.0688101135960295,-0.04289095556935371,-0.09611037627430088,-0.09174634069889666,0.0688101135960295,-0.04289095556935371,-0.05629109311728054,-0.06121364577207927,-0.1432119578444255,-0.13689560977825044,0.045206155845410156,0.03125809854354282,-0.2528912628770595,-0.2114561806625167,-0.15032289858290254,-0.14778795236852707,-0.1704073005627233,-0.16310069449447484,-0.15389014930819542,-0.1427905216780457,-0.04762374459470052,-0.013740180251228785,-0.14710434888662455,-0.1480661381070438,-0.15190629042954856,-0.14670333786456044,0.0007355379888207272,-0.006143113049335332,0.0526910826605535,0.08264215805781408,-0.13837284782025305,-0.14041099646043492,-0.14186224630471989,-0.13378219761591872,0.017706029981264304,0.0154712993348103,0.04070883841941921,0.09593790898953479
64,math,5000,-0.5004710320520862,-0.4928867116573036,-0.475491228551155,-0.49028776332883106,-0.5004710320520862,-0.4928867116573036,-0.475491228551155,-0.49028776332883106,-0.5157902314446143,-0.516093427988161,-0.48761634802813536,-0.5004247181480544,-0.0486828705115655,-0.06133990540090501,-0.009707934476263317,0.2181296944859371,-0.501379917636008,-0.5041648170831313,-0.46358187251227556,-0.473415794085459,0.03337654695789658,0.028285353281501835,0.08379923302351831,0.31770565895381686,-0.4984155593186745,-0.503414162153068,-0.4511002392633883,-0.46092547653481314,0.021007858313239734,0.015518165756726245,0.07232391494029769,0.3303281170597642,-0.49870764319361455,-0.504156923969153,-0.44386623520080964,-0.452254868482236,0.015832704718298087,0.014640739692018461,0.0632988171786993,0.3464144966022323
64,natural_language,5000,-0.4754218561379373,-0.4528709877082792,-0.3810055555332467,-0.3539159489561302,-0.4754218561379373,-0.4528709877082792,-0.3810055555332467,-0.3539159489561302,-0.48734131109949697,-0.47623636310140777,-0.37356727068984935,-0.3635942471754386,-0.03596685232563448,-0.05317034118363643,0.04970592167061616,0.22579259471641117,-0.49347710369555525,-0.49071651771216673,-0.36639667859179387,-0.3707582517751112,-0.0017426861387097223,-0.01858090239894972,0.07587527151946526,0.2994339394256284,-0.48908628223238987,-0.4904074446212619,-0.34587398748626,-0.3601966910296109,0.030217927103439592,0.020064574026759183,0.10761479323615902,0.3344028564810917,-0.4827312504782684,-0.4866644721383374,-0.3306213924583086,-0.3538257554025478,0.04085695286104157,0.03361208181111713,0.10051839041195586,0.33851075149079524
128,ALL,25000,-0.5397951187932053,-0.5382355178799739,-0.4994564881488534,-0.48865035226263354,-0.5397951187932053,-0.5382355178799739,-0.4994564881488534,-0.48865035226263354,-0.5347503829086245,-0.5343758530747312,-0.4778885358897756,-0.4731208095078858,-0.004949184392859523,-0.007045193503464706,0.04786615844510209,0.3494360124464403,-0.5223241603056932,-0.5221967343349617,-0.45580896056075243,-0.4576234863683625,0.03459210971375483,0.03401051172993462,0.08449255452729887,0.36795282635379845,-0.5022588696138652,-0.5014640038672863,-0.4286885969312556,-0.42873900996292774,0.0661816275578583,0.06793631252757579,0.10740510050256531,0.3849909800840115,-0.4789451228639115,-0.4771400732872587,-0.3974971966533244,-0.39723399769178325,0.08250939817067468,0.08523962449353653,0.1207729493227533,0.4015255447549332
128,chat,5000,-0.5423316864358447,-0.5384954502142253,-0.5051086310198066,-0.5026081277419251,-0.5423316864358447,-0.5384954502142253,-0.5051086310198066,-0.5026081277419251,-0.5395530498892608,-0.5400567864782114,-0.4904393712700169,-0.4934768687953247,0.012128492366805407,0.004991391940976235,0.06881935344617297,0.3421844457135584,-0.541396488216092,-0.5458527037035787,-0.47838794775355564,-0.4864812094971041,0.023454806544232147,0.015258349594332494,0.0875012527707234,0.38613334377084335,-0.527881484536801,-0.5322094050893635,-0.46496947258783083,-0.4744885927701888,0.06619637297895767,0.06678709988627018,0.0937640204983666,0.40901245811569786,-0.513327084010035,-0.5181867401860866,-0.4391017126013257,-0.44891320889501435,0.07452741742213954,0.0732108451906668,0.12677214627656286,0.40041531669000213
128,code,5000,-0.4696410760614163,-0.4536673955725436,-0.42866532582257255,-0.39674632464634535,-0.4696410760614163,-0.4536673955725436,-0.42866532582257255,-0.39674632464634535,-0.47826468862131855,-0.47269119913858215,-0.4219748872347747,-0.4096142152723893,-0.04588088641501188,-0.06319379220895353,0.0009109344065691798,0.20799746358725835,-0.46557468346956943,-0.4633601246096842,-0.40851047967492415,-0.4036002576150292,0.023984976136158544,0.015651735878210674,0.04629231695042728,0.2839497303114671,-0.4597767583155674,-0.460676833912568,-0.39235123231623414,-0.39412270237822594,0.015738058639480156,0.007125872700690538,0.06353380398694145,0.3002118088542126,-0.45711309356858976,-0.4597859065082624,-0.38233741968087936,-0.3883302688831064,0.012639286764566512,0.006725581817107001,0.05417568695604755,0.3003186540558777
128,json_config,5000,-0.6895954328791286,-0.5797546843544878,-0.6690699225685925,-0.5503019594363736,-0.6895954328791286,-0.5797546843544878,-0.6690699225685925,-0.5503019594363736,-0.684038453084859,-0.5734112523437491,-0.6538042141015253,-0.5539862281976856,0.013903331774959672,0.01841100282439518,0.05743556671824544,0.639548923256387,-0.6396017890413411,-0.5331464673247888,-0.6069156592686523,-0.5225004875149675,0.12241529414594357,0.11134017145107669,0.15655479376917303,0.4699751590533952,-0.5736140894349456,-0.4712707053591122,-0.5341471746461791,-0.3897384131179723,0.16998879511964785,0.15911163458077865,0.19623408011386836,0.4548782931792807,-0.4825213900721468,-0.38474998878018063,-0.4371367303536407,-0.2751284367247956,0.2073389140234994,0.19469067889800887,0.224833727137583,0.5343664335241061
