context_len,source_type,n,entropy_mean,target_entropy_mean,greedy_accept_top1_rate,seq_accept_top1_mean,greedy_gain_top1_vs_top0_mean,seq_gain_top1_vs_top0_mean,greedy_accept_top2_rate,seq_accept_top2_mean,greedy_gain_top2_vs_top1_mean,seq_gain_top2_vs_top1_mean,greedy_accept_top3_rate,seq_accept_top3_mean,greedy_gain_top3_vs_top2_mean,seq_gain_top3_vs_top2_mean,greedy_accept_top4_rate,seq_accept_top4_mean,greedy_gain_top4_vs_top3_mean,seq_gain_top4_vs_top3_mean,greedy_accept_top5_rate,seq_accept_top5_mean,greedy_gain_top5_vs_top4_mean,seq_gain_top5_vs_top4_mean,seq_minus_greedy_top1,seq_minus_greedy_top2,seq_minus_greedy_top3,seq_minus_greedy_top4,seq_minus_greedy_top5
64,chat,5000,3.4494467061793666,0.7189035507767754,0.4298,0.5132782978177071,0.4298,0.5132782978177071,0.5542,0.6627764006853104,0.1244,0.1494981028676033,0.6128,0.7303856782197953,0.0586,0.06760927753448487,0.6412,0.76894306858778,0.0284,0.03855739036798477,0.6626,0.7963975224256515,0.0214,0.02745445383787155,0.08347829781770705,0.10857640068531038,0.11758567821979526,0.12774306858778006,0.13379752242565157
64,code,5000,4.294691164372535,0.8099688377408671,0.3382,0.403053642642498,0.3382,0.403053642642498,0.422,0.5214833700656891,0.0838,0.11842972742319106,0.4662,0.5886034275531769,0.0442,0.0671200574874878,0.5006,0.6382663766026497,0.0344,0.049662949049472806,0.5222,0.6681722747445107,0.0216,0.02990589814186096,0.06485364264249799,0.09948337006568914,0.12240342755317685,0.1376663766026497,0.1459722747445107
64,json_config,5000,3.0547233006894587,1.249051443570635,0.1984,0.3082715613603592,0.1984,0.3082715613603592,0.2872,0.5858260197639465,0.0888,0.27755445840358733,0.3968,0.7135155793070793,0.1096,0.12768955954313277,0.4638,0.7725427138447761,0.067,0.05902713453769684,0.5256,0.8130332492828369,0.0618,0.04049053543806076,0.10987156136035922,0.29862601976394654,0.31671557930707933,0.30874271384477614,0.287433249282837
64,math,5000,3.7829511033062126,0.6799460405270622,0.3806,0.4511102635264397,0.3806,0.4511102635264397,0.4828,0.5857618373751641,0.1022,0.13465157384872437,0.5456,0.6641882113695144,0.0628,0.07842637399435043,0.5856,0.7124927879810333,0.04,0.04830457661151886,0.6124,0.7420937220454216,0.0268,0.029600934064388275,0.07051026352643969,0.10296183737516407,0.11858821136951447,0.12689278798103332,0.1296937220454215
64,natural_language,5000,3.6914068716931974,1.3738993706087517,0.3932,0.5162582739591598,0.3932,0.5162582739591598,0.507,0.6832459263443947,0.1138,0.16698765238523483,0.5732,0.7653144242286682,0.0662,0.08206849788427353,0.614,0.8145691834211349,0.0408,0.04925475919246674,0.6442,0.8453978486895561,0.0302,0.030828665268421172,0.1230582739591598,0.17624592634439473,0.1921144242286682,0.20056918342113494,0.20119784868955615
128,chat,5000,3.2650359627480388,0.6516579721214918,0.4694,0.5406794070005417,0.4694,0.5406794070005417,0.5718,0.6702007833361626,0.1024,0.12952137633562089,0.629,0.7396402968406677,0.0572,0.06943951350450515,0.661,0.7759460116505623,0.032,0.036305714809894564,0.6862,0.8004852091789245,0.0252,0.024539197528362273,0.07127940700054175,0.09840078333616264,0.11064029684066767,0.11494601165056229,0.11428520917892449
128,code,5000,4.036250873458479,0.6490379737303008,0.3534,0.40457409222126006,0.3534,0.40457409222126006,0.44,0.5277627020835877,0.0866,0.12318860986232757,0.4814,0.5933585026025772,0.0414,0.06559580051898957,0.5152,0.6392107221007347,0.0338,0.0458522194981575,0.538,0.6688806069374085,0.0228,0.029669884836673738,0.05117409222126007,0.08776270208358766,0.11195850260257717,0.12401072210073472,0.13088060693740844
128,json_config,5000,3.2856989516194908,0.6859596484088317,0.4438,0.45553465069532395,0.4438,0.45553465069532395,0.4594,0.4771554509282112,0.0156,0.021620800232887268,0.4902,0.5229386277914048,0.0308,0.04578317686319351,0.5306,0.5713996836900711,0.0404,0.04846105589866638,0.5898,0.6350665519833565,0.0592,0.06366686829328537,0.011734650695323978,0.017755450928211236,0.03273862779140474,0.04079968369007114,0.045266551983356496
128,math,5000,3.5974439717438536,0.511797479731798,0.392,0.44734715003967285,0.392,0.44734715003967285,0.501,0.5835990729928017,0.109,0.13625192295312882,0.5564,0.6507996556639671,0.0554,0.06720058267116547,0.5904,0.6915787374734879,0.034,0.04077908180952072,0.6176,0.7230021498680115,0.0272,0.03142341239452362,0.05534715003967283,0.08259907299280167,0.09439965566396713,0.10117873747348782,0.10540214986801144
128,natural_language,5000,3.6414698171344586,1.391326759399791,0.4182,0.5304273379683495,0.4182,0.5304273379683495,0.5244,0.6909466811656952,0.1062,0.16051934319734573,0.5776,0.7685810134649277,0.0532,0.07763433229923249,0.6192,0.8145047354817391,0.0416,0.04592372201681137,0.6486,0.8478532654762269,0.0294,0.033348529994487765,0.1122273379683495,0.16654668116569527,0.19098101346492768,0.1953047354817391,0.1992532654762269
256,chat,5000,3.122845375031536,0.6572802816035064,0.4854,0.5553283753395081,0.4854,0.5553283753395081,0.5834,0.6855559436917305,0.098,0.13022756835222243,0.6412,0.7571750793218612,0.0578,0.07161913563013077,0.6734,0.7910740195035935,0.0322,0.03389894018173218,0.6976,0.8167620615839958,0.0242,0.025688042080402373,0.06992837533950808,0.10215594369173042,0.11597507932186124,0.11767401950359346,0.11916206158399578
256,code,5000,3.841972183739394,0.5317052399692421,0.365,0.40517564339637757,0.365,0.40517564339637757,0.4546,0.5252565036296845,0.0896,0.12008086023330689,0.5008,0.5859362868070602,0.0462,0.060679783177375796,0.5336,0.6305955539941788,0.0328,0.04465926718711853,0.5554,0.6627145311594009,0.0218,0.03211897716522217,0.04017564339637758,0.07065650362968445,0.0851362868070602,0.09699555399417881,0.10731453115940093
256,json_config,5000,3.5347982368960045,0.9486279467434356,0.399,0.4615901014924049,0.399,0.4615901014924049,0.479,0.5896165332078934,0.08,0.12802643171548844,0.5272,0.65768243547678,0.0482,0.06806590226888656,0.554,0.6958757420182228,0.0268,0.03819330654144287,0.5772,0.7251500801324844,0.0232,0.02927433811426163,0.0625901014924049,0.11061653320789344,0.13048243547677996,0.14187574201822273,0.14795008013248434
256,math,5000,3.420934943908546,0.4562638890998566,0.3886,0.4326956934452057,0.3886,0.4326956934452057,0.492,0.5618869029045105,0.1034,0.12919120945930482,0.5564,0.6371508218646049,0.0644,0.07526391896009445,0.5994,0.6854048925042152,0.043,0.04825407063961029,0.634,0.7238473066806793,0.0346,0.03844241417646408,0.0440956934452057,0.0698869029045105,0.08075082186460492,0.08600489250421517,0.0898473066806793
256,natural_language,5000,3.675417679727846,1.452908342012071,0.4176,0.5316894799590111,0.4176,0.5316894799590111,0.5304,0.6995951424479484,0.1128,0.16790566248893737,0.5906,0.780953093278408,0.0602,0.08135795083045959,0.6296,0.8258610853910446,0.039,0.04490799211263657,0.658,0.8542856568455696,0.0284,0.028424571454524993,0.11408947995901103,0.16919514244794842,0.190353093278408,0.1962610853910446,0.19628565684556953
